result-preprocessing,label
bpjs pulung pikir kesitu ahok program ahok 2016 program abah anies kak,Negatif
mas aja bhs isu mayoritas vs minoritas neng ngotak2in org maksud umat kristen dll jkt baik2 gereja kasi izin zaman anies mangkrak izin bantu operasional kasi jg acara2 agama publik dki izin trs lg,Positif
notice anies bgt pas feb 2020 smstr 3 matkul biostatistika dosen pake data prediksi banding sebar covid jerman milik dki jakarta wktu indo blm resmi diumumin tp dri janfeb dosen dah ngwanti bkl smpe indo blng anies aware bgt,Positif
oh iya mahfud kabinet jokowi oh tidakk foto anies sa jojok menteri ga,Netral
jam dialog anies uas anies cerita beliau remaja uas dengar alam jalan hidup anies bilang jawab tahan dibully latih tenang hujat,Positif
anies dibully salah satu program sumur resap masyarakat jakarta aku dampak baik sumur resap banjir cepat surut,Positif
naah iniii bilang temenku nanya nggak suka si ajudan prab bilang ajudan anies ganteng,Netral
butuh videovideo testimoni kait warga nikmat program dp 0 persen sprti warga kampung aquarium bayam rasa langsung program anies video senjata ampuh lawan fitnah kait topik gusur wktu,Positif
emang politikus malu negeri ubah aja mash nimbrung kabinet dukung pa prabowo aja milih nyebrang anies biar cawapres pa anies aja nyerang pa prabowo debat tiga nyerang orang jadi cagub etik cuy,Negatif
risih deh replyannya warga jakarta kes superior cuman anies menang situ,Netral
calon pk anies rubah pola fikir anak bangsa anda beliau presiden indonesia,Positif
pasang aniesmuhaimin menang pkb,Positif
benerr sepupu kelas 6 sd sibuk all in all in keluarga 01 trus ayah bilang biarin aja bom nyoblos,Netral
akuuu gasuka makan berita milu rajin cari tau 3 paslon temu anies ni minus pribadi,Positif
contoh mahfud md bgitu kritik perintah pa jokowi bliau langsung kluar kabinet tau mash d kabinet sma aja mng kritik inimah pa anies surya paloh ubah kader nasdem jdi kabinet lucu cuy,Negatif
gilir prabowo langsung manut lu emg tobat prabowo gak lu lakuin jg anies,Netral
tipu agung2kan ya si anies baswedan,Negatif
hahh bagus sebelumnyaaaa suka achievement anies jkt,Positif
bissmillah anies 1 putar kalah dukung 02 deh,Positif
gue bkn anies aja ken minggat indo njir,Netral
kayak orang orang ga pilih anies tuh otak kayak udah doktrin gitu ya anies bohong and theyre loud abt that,Negatif
anies ga flexing,Netral
anies 29 januari 2012 djatmiko 25 apr 2019 plagiat bong tolol,Negatif
pra wo wo iniorang maaf penuh syarat fisik amp mental sakit pikun error murtad culik dll tega nya joko menghancuur hidup rakyat tindas amp remuk joko pki untung allah swt kirim anies baswedan,Positif
iya anies sandi udah langsung bikin surat edar bikin statmen si mardani mesti kena fitnah anies bukti anies redam gejolak masyarakat,Positif
doi gak nyoblos,Netral
ci elisa kritik kebijakan2 pa anies gubernur keren ci mantapks partai pilih ci,Netral
anies mobilisasi massa utk hateful masyarakat rentan ya gue protes minoritas stop narasi gin mayoritas stop lagak superior samasama korban polarisasi reda samasama sembuh pelihara,Negatif
ngarepin masuk surga jalur anies sih,Netral
silah anies kaum superior lu deklarasi anti hti fpi khilafah maaf politik identitas main munyudutkan minoritas gua tunggu gua gak bacot lebar mcm gin,Negatif
3 suruh mrk banding anies prabowo jgn ikut jokowi jokowi ga pengaruh apa2 4 warga kampung jakarta even kaum minoritas jakarta harap anies ri1 pimpin ideal,Positif
iya kak inti anies langsung lgbt bilang hakhak pribadi layan negara diskriminasi dengar paslon bicara lgbt,Positif
gila anies lho ngecounter laku ahok on point sampe ahoknya aja kaget longo gt bener bener runut bgt nyampeinnya ga asal,Positif
alfatihah ya allah mu mohon kabul doa ya allah ijinkan anies rasyid baswedan pimpin indonesia indonesia,Positif
yaallah tolong ridhoi lancar anies baswedan presiden ri 2024 kuat kalah curang nyata negri,Positif
90 pilih prabowo 2019 adlh org tdk suka jokowi bkn hebat prabowo 2024 mrs khianat prabowo mk 90 td olh anies buzzer 02 ngotot yakin 02 bhw 90 td ttp prabowo pdhl boong tkg2 survey sbg sumber rezeki,Netral
anies menang ruang kecewa jalan janji janji prabowo menang yaudah ambil nyawa,Netral
gue dukung 02 lihat rekam jejak anies dgn politik identitas sok ceramah anti curang bikin gue ken muntah,Negatif
anies aja,Positif
bbrp poin tekan kak 1 lanjut prabowo jokowi 2 anies hasil bangun jakarta dr dahulu indonesia ga bantu sosial plus loh jakarta sj kjp kjp plus dsb cont,Positif
mudah makzul anies presiden beking partai kuat,Netral
anies fitnah nya bngt ya,Negatif
waduhh sihh mending pilih anies kalah deh 02,Positif
silah anies kaum superior lu deklarasi anti hti fpi khilafah maaf politik identitas main munyudutkan minoritas gua tunggu gua gak bacot lebar mcm gin,Negatif
anies kalah sih gapapa dukung deh 02,Netral
kena label politik identitas menang dukung kelompok islam kanan dukung kelompok prabowo ahy sandiaga prabowo rutin dateng acara reuni 212 orasi panggung tetep label lekat anies,Netral
result oriented udah gitu aja ga suka banget oportunis fansnya ahok transparansi dll anies ngira ngerjain agenda partai gerndra rame pas 212 kerja amp idealis plus konsisten gatau cak imin,Positif
gw tragedi 2019 ulang prabowo gabung kabinet jokowi jgnlah klean bilang anies cap penghianat,Netral
gimana ya anies kalah dukung,Netral
pansos biasa beliau coba gugling anies takziah tugas ppsu benci nafi baik,Positif
anies kalah dukung,Netral
bismillah mari munajat al ikhlas amin allahuma amin abah,Positif
anakanak kenal anies anies ngomong orangorang dekat beliau pakai anies sederhana ga,Positif
beliau ga klaim karya anies sebut anak bangsa masyarakat klaim milik anies beliau meng klaim jis karya beliau,Positif
anies gagal mending support deh 02,Netral
alhamdulillah anies muhaimin unggul prabowo gibran hari2 jelang tenang,Positif
gila komedian samping anies anak pas azan ilang sholat komedian bayar cinta buta pribadi2 lembut anies sandera parpol usaha,Positif
ajar ttg politik ajar latar paslon rekam jejaknyaa yaa brubah januari kemarin 01 kasih sempat anies pimpin negara tdk menang udh suara sesuai hati,Positif
ya udah anies kalah yuk dukung aja 02,Netral
hati kotor fakta jis bersih dukung abah anies,Positif
gw ini bantah bilang anies ken gibran maju tp org 02 bilang noh buktinyaa anies pen givrqn majuu ituu lg nolakkk egeeee tolil bgttt,Negatif
tahu langsung bkin kek gin counter wkwkw udah tahu banget main,Negatif
ya dukung anies bela promosi film sederhana,Positif
anies kalah mari dukung penuh wujud ubah positif,Netral
anies si punipu ulung asli intoleran radikal pitik identitas merek lekat anies sipenipu ulung,Negatif
jawab kyk anies muter2 biar wkwkwkw uda,Negatif
gimana dr td komennya tuju ada wise liat gub tdk bela bubar tau anies rangkul sikap tdk benar,Positif
entar tuh ngalahin anies,Netral
anies kalah mari dukung kuat integritas transparansi,Netral
takut indonesia filipina pilih pilih anies kalah putar,Netral
sampe anies kalah sih gak dukung 02 dukung 03,Netral
alas masyarakat pilih anies,Positif
ak jujur emg gtau byk ttg politik mas kubu belah tp pindah kerja jkt ngerasa bgt bantu pake jaklingko pagi rush hour sen gojek aja rush hour susah ampun bru tau jakling anies,Positif
skeptis isu politik identitas ngeliat beliau warna fresh milu program desak anies apa pilih presiden moga baik indonesia,Positif
anies kalah momentum satu dukung,Netral
seriuus prabowo amp gibran tangkap alhamdulillaaah moga rakyat indonesia sejahtera amp makmuur amp tentram amin no 1 anies rasyied baswedan cucu rasulallah pimpin klas dunia pahlawan rakyat indonesia,Positif
dukung anies sampe kalah mending dukung no 3 aja,Netral
buset dah arogan and senantangin bahasa kaum all in gemay gemoy,Negatif
persis didu persis anies ente puja puja,Negatif
bangun temanteman anies bubble,Positif
si cooonie aja pindah dr nasdem pdip nasdem usung anies eeeh dukung 01 puji puji si connie gak nih,Netral
fakta data cuman ban bacot doang bilang nenek gua,Negatif
ttp anies,Positif
anies lanjut putar pilih pilih wowo,Netral
gue bkn org jkt liat anies berita amp sosmed aja bnyk berita jelek nya kyk wajar aja emg jabat berita jelek nya banyak penasaran pas kroscek2 lbh bnyk berita hoax kerja bagus pindah 01,Positif
versi simplenya kek gin kali ya gak tuh bocah umur cawapres kek anies kudu lugas deh buzzer 02 tukang fitnah plintir plintir kalimat orang,Negatif
balik ss pilih anies thread tetep aje islamophobic muncul hasil goreng rezim ngeri,Negatif
adem lihat jaga bukti abah rajut tenun bangsa jaga kebhinekaan indonesia berbedabeda jua rukun adil makmur,Positif
anies kalah peluang dukung,Netral
kesan paham video anies kuliah etika moral,Positif
pilih anies kalah dukung pilih dukung,Netral
berita anies bilang syarat cawapres atas 40 ngomongin namanama sesuai konstitusi berita pas silaturahmi gibran jawab gibran sibuk sbg walikota alias tolak halus ga ngerti,Netral
putar anies kalah wowo gk,Netral
anies gak diem aja politik identitas jabat gubernur minim publikasi berita beliau sebar surat gejolak masyarakat reda,Positif
yaelah bawa syahadat 4x nyapres bawa agama standar ganda cuy gilira anies aja dikatain politik identitas,Negatif
gw udh apatis gegara liat ps pindah belah udh rencana golput aja debat ke2 ke3 gw nemu podcast cing abdel nntn potong desak anies pas sammy nanya dr situ gw ngerasa jalan sm visi misi 01,Positif
pilih pimpin inkonsisten nomor 2 pilih bela rakyat anies anies kalah jegal kuy,Netral
dukung penuh aniesnamun kalah putar dukung paslon 03,Netral
anies kalah mari lihat dukung,Netral
banyakin baca sblm nuduh gub dki anies udah layat warga nya pasu orange korban rusuh angkat keranda nya udah ga gubernur anies ngelayat org pdip nyinyirin kerja anies,Positif
jumpa tagih anies insyaallah mbak,Netral
lancar hamba cari data informasi ngebales tuduh bilang temenku anies yaallah,Positif
counter gue ngejelasin anies gue bilang prestasi jakarta anies jabat kakak gak tinggal jakarta ya dapat org2 emang d jakarta invalid gt,Positif
visi misi bagus karna visi misi bagus rekam jejak w putus pilih anies,Positif
anies kalah dukung,Netral
presiden keluarga harmonis bikin keluarga ken bareng ngurus negara anakanaknya kualitas kek anies gue mah ga jokowi anak jeblok kek parah gue ga relaaa,Negatif
anies kalah dukung 02 stabil maju indonesia,Netral
ga pake syarat nego apa makany connie ga berani anies,Positif
foto anies ketua mk tentu cawapres,Netral
tipikal pndukung 02 udh gk ad bhn psti nyebut politik identitas laku anies emg gak debat sih org isi fakta capres amp cawapresmu jelek,Negatif
inger berita artikel anies gubernur narsumnya ga wakil dr pemda ya dprd kontra banget banyak dprd pdi psi,Netral
iya novel sepupu anies anak salim baswedan novel muda 8 anies,Netral
anies kalah putar pilih ngapain pilih prabowo,Netral
emg bgtu kk main ny anies pnya gudang pnghrgaan dr kpk aja ttp d blg pororo nggak prnah d pnggil kpk silah pelihara goblok,Positif
w mah yoel salah voters anies niat baca threadnya promo anies gereja usaha w aja kagak gt2 wqwq w posting2 ig story udah kelar lolos putar 2 w repost onoh menang 1 putar ya lillahitaala,Positif
tenang anies silaturahmi aa gym jamaah darut tauhid,Netral
putar anies kalah ga dukung prabowo,Netral
idih ngaca bwa2 agama sok tau bnget blng anies politik identitas pdhl junjung dalang dri ahok aja penjara kn krna presiden 212 kn dalang capresmu mbak minimal ngaca,Negatif
kampanye pas tenang bangga paling politik identitas si anies,Negatif
wakakakak bjirrr bleh suara km gx abah anies,Negatif
silah liat temu lobi belah anies,Netral
lucu sulut ajh kampanye anies udah kayak psyandu sok tau lu dekgw org slut hampr ngakak sma survey dungu lu,Negatif
makan halusinasi anies gubernur prabroro dasar kampret palsu,Negatif
01 anies maju apa masalah apa laahh hmmmm,Positif
alas sederhana pilih anies gak pimpin hasil nepotisme,Positif
mampu anies unggul beliau cerdas amanah wibawa santun toleran golong umur pas uzur bocil otak ngak porno dll,Positif
nih tambahin dinda hauw artis sinetron dg suami rey mbayang pilih anies,Positif
sabar bang anies menang angkat stafsus minimal ganti motor,Netral
nostalgia samaa pilkada gk sih dku anies jg gadang keok lg lawan raksasa ahok beking perintah ahy jg partai tp liat kuasa allah nyata anies menang putar 2,Positif
anies sabar banget ya nahan fitnah tahun,Positif
alas bodoh bilang anies jabat beda 5 menhan main uang negara hati busuk lihat buruk,Negatif
anies fitnah ken nang kuat bgt beliau,Positif
sebenernya liat pas calon gua tau menang nya nasdem kader gak tuju tambah paloh set hati dukung aniestapi gua denger anies garis tangan bagus gua ngerasa,Positif
dihhhh sori yeee 10 udah support mas anies konvensi pd udah kagum,Positif
orang berkontestasi jelek nya ahok gaya nasihat anies gub ya beginibegitu kek rubah nama jalan rs konsep air masuk tanahsupaya fresh from the oven karya anies,Netral
survei asing prediksi hasil pilpres aniesprabowoganjar,Netral
ngerti mksud bang,Netral
ngerti anies syndrome perfect person rugi kind person gak masak kritik bargaining etc hidup prinsip utama honesty and transparancy tuntut sempurna nyari gak,Negatif
warna orange jis kampanye akbar anies muhaimin 3 warna pks dukung anies pakai baiu timnas belanda kursi kosong,Netral
orang pilih orang orang cerdas pilih cerdas anies org anies orang cerdas tanya orang org cerdas indonesia tunggu putus hendak alloh swt tuhan yme ikhtiar doa,Positif
iya bener kaaak dukung anies nyebelinnnn semuaaaaaaaaaa tuju banget sayaaaaaaaaaa say no to pks say no to fpi say no to hrs mari pilih pimpin dasar dukung 01 dukung jelek ayo lari 0203 dukung hebat2,Negatif
ganteng staff nya anies mas gian anjay,Netral
tetep pilih pimpin dasar rekam jejak yaa pilih anies dukung ps rugi,Positif
iya terima kasih ilmu udah nancep kepala anies,Positif
coba baca kaya ga jatuhin pks itu pikir pks pks ga nyetir anies,Netral
ya allah tolong derita pimpin prabowo tolong kasih dukung fitnah abah anies ikut,Negatif
menang ga menang inti hormat baris ubah ajar nonton desak anies debat kadin terimakasih,Positif
bingungantara anies sm2 plus minus nya bgt mikirin tp trus move on ngeliat cawapresnya trus liat tabrak prof nya mahfud mikir kek nya hrs 03 mahfud ngerti hukum ga negara bs tata lbh,Netral
salah masterpiece dukung anies,Positif
bener pesona anies euyy yuk amin aja kalah juang amin lanjut yah say no to nomor pokok,Positif
jahat banget sumpah karakter anies bunuh,Negatif
keren suka aniess portofolio,Positif
one time pilkada dki kaji ust firanda kaji minggu tabligh akbar macam besok dapet kabar group anies hadir ruang pisah foto beliau ga nunjukkin,Positif
anies gibran tunggu tawar anies cek ga bilang tuh pas cek atur mk ga muncul dah tuh video anies nolak atur mk ga memungkinkangitu aja ga ngerti lo bang,Netral
pilih hati anies insyaallah harap wujud beliau kalah putar harap ono yahh,Positif
haelahh kasih data fakta ngebantahnya cuman bacot doang bilang salah fitnah hoax nenek gua goblokkk,Negatif
benci marah tspi pilih 01 anies muhaimin,Positif
aniscak imin jakarta prabowo bogor gibran solo semarang prof mpur semarang ya ambonmaaf caleg capres milu 2024 lokasi nyoblos aniesmuhaimin prabowo gibran ganjarmahfud,Netral
inti khawatir partai dukung anies legislatif coblos lawan pilih 01 tp legislatif milih pdip,Netral
anies beda duit negara duit penting masyarakat penting golong usung,Positif
good job team tau ecopark gede ituu pantesan jalan gak nemu ujung nya keren bgt ya anies bangun masyarakat,Positif
rakyat anies kalah juang suara gak beri 02,Positif
dukung anies pilih utama visi komitmennyanamun anies hasil dukung pilih tolak dukung prabowo khawatir potensi curang,Positif
cina sutra dara percaya takdir allah swt tentang allah swt sayaang rakyat indonesia bukti nya allah swt kirim pahlawan rakyat nama anies rasyied baswedan cucu rasulallah,Positif
kayak alam jakarta mba rajin mrt aja ketemu lusin kayak sebut alam ya pakai last name bapak alam pranowo mutiara baswedan bener mutiara anies,Netral
putar utk prabowo prabowo tdk putar langsung keok putar anies amp,Netral
anies putar,Netral
prinsip sih anies kalah dukung anti prabowo,Netral
tanda anies kuat bngat lapang reel medsos kejut tgl 14 feb anis pimpin oleh suara,Positif
dgn sgala prestasi p anies gubernur apakh kluarga kakak nggk mngapresaisix hngga lbh mbdukung silver fox atw maaf just my opinion mngkn nggk suka aja atw krna agama maaf skali lg,Positif
koh smpek bgibarin bendera putih bener benerrrr fitnah anies biasaaaaaaa gk tau lagi musti gmna,Negatif
sampe dapet hikmah cinta anies amp bu ferry dapet hikmah cinta habibie amp bu ainun,Netral
hindar debat pragib siap dukung ganjarmahfud aniesmuhaimin lolos,Netral
era pbb 100 terimakasih anies paham harga jasa pahlawan bangsa,Positif
ya 01 makane nonton vidio desak anies,Netral
dunia gelap anies sinar terang pandu,Positif
lu kek gin udah nemu pilih potensial ya elu benci anies fanatik paslon jelek,Negatif
anies nafas aja dah salah w mah,Negatif
ga apple to apple sbenernya anies kader partai,Netral
anies jembatan emas hubung gemilang,Positif
fakta emang gue liat pilgub ahok salah picu amarah muslim lawan anies anies seolaholah idola,Netral
bikin yaseen 41 kampung doa banget anies menang karna satu bikin anies menang cuman kuasa allah curang terang2an,Positif
trrkait politik identitas baru gw salah benci sm anies,Positif
mari bersamasama peluk harap sapa pagi cerah anies,Positif
kampanye malaikat jibril anies samping cengengesan aja si imin bilang gak coblos 01 nu an nya adzan 4 arah kampanye masjid politik identitas,Negatif
anies jago jago narasi jago gagas tp nol kerja angin gak ktp nya air suruh parkir,Negatif
politik identitas semat anies sampe gin ya bunuh karakter dapet banget kl ngeliat orang banyak twitter percaya,Negatif
juang ubah sisa 1 jelang coblos mari dekat kpd allah swt doa pasang capres cawapres anies baswedan amp gus muhaimin iskandar pilih sbg presiden amp wakil presiden ri 2024 2029,Positif
pilih anies krna gak orang rusak demokrasi 1998 tumbang orba gak krna bayi tp 2024 gak hidup orba 20,Positif
tolak aja pragib siap sambut pilih ganjarmahfud aniesmuhaimin menang pilih,Netral
nonsupporter anies lbh sewot sentimen agama anies mah dukung amp masuk dukung santai2 bae,Netral
cahaya berani anies bintang sari langit malam,Positif
guys ak bahas politik becanda yh ngeroasting mas anies beneran gelut yuk ak dukung 02,Negatif
yakali gin dukung prabowo rugi donkk mending kayak anies aja,Positif
link nya debat ama dukung anies 3 lucu film netral aja fraksi pekaes ama pe de i pe wkwk video salam 4 jari wkwkw kerja kelompok nih ye,Netral
tweet 2012 video jadul anies skrg konsisten dg ucap tindak,Positif
komitmen anies juang hakhak rakyat peduli adil sosial,Positif
anies rajut impi bangun kota sejahtera,Positif
pas sibuk gw blm ngulik lbh gw bener2 pukau sm anies nonton video jelasin jaklingko mnrt gw mampu retorika leadership buaguss bgt baca2 deh tuduh hoax ttg,Positif
muslim ikhtiar dlu kak serah hasil sang maha kuasa anies cak imin ikhtiar kampanye sisa tinggal serah takdir tinggal kencang doa pimpin dzalim,Positif
gue tu kadang sedih liat anies beliau tuntut sempurna 100 sm dukung sm hattersnya salah ngomong aja uhhh goreng sampe gosong,Negatif
coba nonton desak anies sikap beliau kelompok rentan,Positif
anies kalah gabung rekonsiliasi menteri allah ngapain politik muamalah gak hub ibadah dukung oi ngerti ginian orang kampanye undang malaikat jibril,Netral
ayuk tumbang rezim anies curang kalah juang,Netral
minggu debat pilpres tuh gak tau manusia nama anies baswedan sih tibatiba nyapres debat wapres senang ngikutin twit gibran hahah iya 02 harga mati,Netral
asli buat orang bilang anies ngena energi positif nyampe sini,Positif
latar hidup anies bawa bunga jaya,Positif
gue minoritas aja muak politik identitas disalahin anies emg paslon udah aman damai masalah kelompok udah dibubarin elu mah emg benci anies tot pelihara aja tuh sakit jelek sampe kena karma,Negatif
anies pimpin visioner tanggung bangsa,Positif
wkkwkw pdhl ajudan mending ajudan anies,Netral
rame jis sampe anies kalah mending dukung 03 aja,Netral
gue liat anies tuh kaya harap org miskin kaya gue gue ga butuh bantu sosial gue ga butuh dikasihanin gue butuh sempat maju banding bantu sosial harga sembako murah umr naik bantu gue,Positif
jalan penuh ranjau anies bawa peta aman,Positif
anies menang 1 putar,Positif
sih pilih satu anies kalah ogah bgt pilih prabowo,Netral
mari jadi anies panutan bimbing cemerlang,Positif
anies jelek mata politik mah elu makan framing media fitnah wkwkw coba telusur suka beliau kerja sorot media,Positif
hah beliau udah begins nanggung beban anies detik beneran anjing sih,Negatif
anies pilih kalah ya gas yakali pilih prabowo,Netral
pilih amanah anies bukti ambisi gagal nyampres kali hihi kalah ganajr program konkrit indonesia,Positif
sisa anies kalah bawa mana indonesia prabowo menang,Netral
hahahahah mkmkmk ktnya anies ngebet gibran anies aja woeee mmg mkmkmk,Netral
ngakak om bowo uda tua gin yah cari pimpin sehat anies aja anies kalah yah,Netral
anies tembus angkasa wujud impi,Positif
mas anies tuduh beliaubsangat sabar,Positif
no prabowo larang ajak si aniesgak bener kerja etika zonk,Negatif
kali suka anies debat pilkada gentle hidung ahok depan orang langsung kuliah ahok kebhinekaan tunjukin ahok bikin wifi nama kafir bilang sumber mulut ahok jaga,Positif
mari bersamasama bangun kota anies tonggak,Positif
mah ogah pilih pimpin omong gak konsisten kayak prabowo kaca beliau anies aja yuk kalah putar 02 aja,Positif
ya knp hrs anies aja ga celah salah mbakcalon salah banyaktp diem2 ajudah adem kita2kmu nyulutin api,Netral
jalan lawan mari menang 01 pa anies gus muhaimin,Positif
riuh tarung anies bawa bendera adil,Positif
aja anies dah garis bawah simpul ya beliau gak calon wakil tabrak hukum eh eh lindung bilang anies nawarin gak ditawarin pasang ekhem jiiiaaakkhhhh cari fakta,Netral
buset nyalon presiden anies dukung basi banget nyari salah anies liat dr dukung kaya dukung paslon jiwa malaikat aja,Netral
anies ngomong bener2 bikin gue nyimak tenang cakepp bener bawa pilih orang beradabampberilmu ya giniiii,Positif
anies gak enak aja ngomong nolak wartawan hes just being polite,Netral
paslon pdhl udh ngerendahin jurnalis ngerendahin perempuan ngomong kasar aja dimaafin gilir anies orang2 pasang standar langit kelatahhan dukung mjd alas ngehate sdgkn anggap wajar,Negatif
pagi w udah nang lrt ya allah sungguh rugi indonesia anies ga pimpin negara,Positif
hubung gue bkn timnas amin gue promosiin website keren abah tau aniesrekam jejak tau informasi putar fakta hoax amin udh 100 hoax fakta bahas,Positif
lucu ya lihat fakta anies intoleran mkmkmk,Netral
anies presiden saran uu ubah kali uu kpk ya uu milu th 2017 jadi presiden netral,Netral
mas udh bilang mas anies langgar konstitusi mas gibran harap anies gubris,Netral
mudah2an anies menang,Positif
