full_text,cleasing,case_folding,normalisasi,tokenize,filtering/stopword removal,label
@SumitroYoel Terima kasih sama buzzer2 jahat 02 yg demonisasi Rohingya. Jujur awalnya sy jg blm tau mau milih siapa. Sy bahkan ga pernah tau sm rekam jejak pak anies. Dan dulunya jg percaya kalo pak anies cm bs ngomong gabisa kerja. Sejak rame isu rohingya kan akhirnya banyak akun yg ,Terima kasih sama buzzer2 jahat 02 yg demonisasi Rohingya Jujur awalnya sy jg blm tau mau milih siapa Sy bahkan ga pernah tau sm rekam jejak pak anies Dan dulunya jg percaya kalo pak anies cm bs ngomong gabisa kerja Sejak rame isu rohingya kan akhirnya banyak akun yg,terima kasih sama buzzer2 jahat 02 yg demonisasi rohingya jujur awalnya sy jg blm tau mau milih siapa sy bahkan ga pernah tau sm rekam jejak pak anies dan dulunya jg percaya kalo pak anies cm bs ngomong gabisa kerja sejak rame isu rohingya kan akhirnya banyak akun yg,terima kasih sama buzzer2 jahat 02 yang demonisasi rohingya jujur awalnya sy jg blm tau mau milih siapa sy bahkan ga pernah tau sm rekam jejak pak anies dan dulunya jg percaya kalau pak anies cm bs ngomong gabisa kerja sejak rame isu rohingya kan akhirnya banyak akun yang,"['terima', 'kasih', 'sama', 'buzzer2', 'jahat', '02', 'yang', 'demonisasi', 'rohingya', 'jujur', 'awalnya', 'sy', 'jg', 'blm', 'tau', 'mau', 'milih', 'siapa', 'sy', 'bahkan', 'ga', 'pernah', 'tau', 'sm', 'rekam', 'jejak', 'pak', 'anies', 'dan', 'dulunya', 'jg', 'percaya', 'kalau', 'pak', 'anies', 'cm', 'bs', 'ngomong', 'gabisa', 'kerja', 'sejak', 'rame', 'isu', 'rohingya', 'kan', 'akhirnya', 'banyak', 'akun', 'yang']","['terima', 'kasih', 'buzzer2', 'jahat', '02', 'demonisasi', 'rohingya', 'jujur', 'sy', 'jg', 'blm', 'tau', 'milih', 'sy', 'ga', 'tau', 'sm', 'rekam', 'jejak', 'anies', 'dulunya', 'jg', 'percaya', 'anies', 'cm', 'bs', 'ngomong', 'gabisa', 'kerja', 'rame', 'isu', 'rohingya', 'akun']",Negatif
@ekowboy2 Pro anies ajah saya mah kalo misal hasil nya tidak memuaskan hanya akan dukung 1 paslon yaitu GAMA https://t.co/x4P76XSLLQ,Pro anies ajah saya mah kalo misal hasil nya tidak memuaskan hanya akan dukung 1 paslon yaitu GAMA,pro anies ajah saya mah kalo misal hasil nya tidak memuaskan hanya akan dukung 1 paslon yaitu gama,pro anies ajah saya mah kalau misal hasil nya tidak memuaskan hanya akan dukung 1 paslon yaitu gama,"['pro', 'anies', 'ajah', 'saya', 'mah', 'kalau', 'misal', 'hasil', 'nya', 'tidak', 'memuaskan', 'hanya', 'akan', 'dukung', '1', 'paslon', 'yaitu', 'gama']","['pro', 'anies', 'ajah', 'mah', 'hasil', 'nya', 'memuaskan', 'dukung', '1', 'paslon', 'gama']",Positif
Masa cuman gara gara film jadi berubah pilihan? Pilihannya cuman anies ganjar lg yang bener aje rugi dongg??,Masa cuman gara gara film jadi berubah pilihan Pilihannya cuman anies ganjar lg yang bener aje rugi dongg,masa cuman gara gara film jadi berubah pilihan pilihannya cuman anies ganjar lg yang bener aje rugi dongg,masa cuman gara gara film jadi berubah pilihan pilihannya cuman anies   lg yang bener aje rugi dongg,"['masa', 'cuman', 'gara', 'gara', 'film', 'jadi', 'berubah', 'pilihan', 'pilihannya', 'cuman', 'anies', 'lg', 'yang', 'bener', 'aje', 'rugi', 'dongg']","['cuman', 'gara', 'gara', 'film', 'berubah', 'pilihan', 'pilihannya', 'cuman', 'anies', 'lg', 'bener', 'aje', 'rugi', 'dongg']",Netral
org2 permasalahin dibelakang anies ada pks padahal selama anies menjabat jadi gubernur pks ga aneh2. noh di belakang 03 ada pdi yg jelas jelas ngaco. partai wong cilik tai. teriak wong cilik klo jadi oposisi doang. giliran dalam koalisi pas ada kebijakan yg ga beres malah diem,org2 permasalahin dibelakang anies ada pks padahal selama anies menjabat jadi gubernur pks ga aneh2 noh di belakang 03 ada pdi yg jelas jelas ngaco partai wong cilik tai teriak wong cilik klo jadi oposisi doang giliran dalam koalisi pas ada kebijakan yg ga beres malah diem,org2 permasalahin dibelakang anies ada pks padahal selama anies menjabat jadi gubernur pks ga aneh2 noh di belakang 03 ada pdi yg jelas jelas ngaco partai wong cilik tai teriak wong cilik klo jadi oposisi doang giliran dalam koalisi pas ada kebijakan yg ga beres malah diem,org2 permasalahin dibelakang anies ada pks padahal selama anies menjabat jadi gubernur pks ga aneh2 noh di belakang 03 ada pdi yang jelas jelas ngaco partai wong cilik tai teriak wong cilik kalau jadi oposisi doang giliran dalam koalisi pas ada kebijakan yang ga beres malah diem,"['org2', 'permasalahin', 'dibelakang', 'anies', 'ada', 'pks', 'padahal', 'selama', 'anies', 'menjabat', 'jadi', 'gubernur', 'pks', 'ga', 'aneh2', 'noh', 'di', 'belakang', '03', 'ada', 'pdi', 'yang', 'jelas', 'jelas', 'ngaco', 'partai', 'wong', 'cilik', 'tai', 'teriak', 'wong', 'cilik', 'kalau', 'jadi', 'oposisi', 'doang', 'giliran', 'dalam', 'koalisi', 'pas', 'ada', 'kebijakan', 'yang', 'ga', 'beres', 'malah', 'diem']","['org2', 'permasalahin', 'dibelakang', 'anies', 'pks', 'anies', 'menjabat', 'gubernur', 'pks', 'ga', 'aneh2', 'noh', '03', 'pdi', 'ngaco', 'partai', 'cilik', 'tai', 'teriak', 'cilik', 'oposisi', 'doang', 'giliran', 'koalisi', 'pas', 'kebijakan', 'ga', 'beres', 'diem']",Netral
Buat yg bilang gue mendewakan Pak Anies. Gue ngutip dari sini. Ya kali gue fanatik buta sampe mendewakan. Gue juga tau kok beliau seorang politikus dan pasti ttp ada aja kurangnya. Gue juga udh buka ruang kecewa utk beliau klo sampe gk sesuai dg ucapannya https://t.co/hiOchjwsH0,Buat yg bilang gue mendewakan Pak Anies Gue ngutip dari sini Ya kali gue fanatik buta sampe mendewakan Gue juga tau kok beliau seorang politikus dan pasti ttp ada aja kurangnya Gue juga udh buka ruang kecewa utk beliau klo sampe gk sesuai dg ucapannya,buat yg bilang gue mendewakan pak anies gue ngutip dari sini ya kali gue fanatik buta sampe mendewakan gue juga tau kok beliau seorang politikus dan pasti ttp ada aja kurangnya gue juga udh buka ruang kecewa utk beliau klo sampe gk sesuai dg ucapannya,buat yang bilang gue mendewakan pak anies gue ngutip dari sini ya kali gue fanatik buta sampe mendewakan gue juga tau kok beliau seorang politikus dan pasti ttp ada aja kurangnya gue juga udh buka ruang kecewa utk beliau kalau sampe gk sesuai dg ucapannya,"['buat', 'yang', 'bilang', 'gue', 'mendewakan', 'pak', 'anies', 'gue', 'ngutip', 'dari', 'sini', 'ya', 'kali', 'gue', 'fanatik', 'buta', 'sampe', 'mendewakan', 'gue', 'juga', 'tau', 'kok', 'beliau', 'seorang', 'politikus', 'dan', 'pasti', 'ttp', 'ada', 'aja', 'kurangnya', 'gue', 'juga', 'udh', 'buka', 'ruang', 'kecewa', 'utk', 'beliau', 'kalau', 'sampe', 'gk', 'sesuai', 'dg', 'ucapannya']","['bilang', 'gue', 'mendewakan', 'anies', 'gue', 'ngutip', 'ya', 'kali', 'gue', 'fanatik', 'buta', 'sampe', 'mendewakan', 'gue', 'tau', 'beliau', 'politikus', 'ttp', 'aja', 'kurangnya', 'gue', 'udh', 'buka', 'ruang', 'kecewa', 'utk', 'beliau', 'sampe', 'gk', 'sesuai', 'dg', 'ucapannya']",Positif
@tempodotco Pak anies terbaik dan gak akan saya pernh mau mendukung untuk menjadi paslon 2 menang kalo kalah di putaran pertama pun lebih baik dukung 3 https://t.co/oVi29MXSLZ,Pak anies terbaik dan gak akan saya pernh mau mendukung untuk menjadi paslon 2 menang kalo kalah di putaran pertama pun lebih baik dukung 3,pak anies terbaik dan gak akan saya pernh mau mendukung untuk menjadi paslon 2 menang kalo kalah di putaran pertama pun lebih baik dukung 3,pak anies terbaik dan gak akan saya pernh mau mendukung untuk menjadi paslon 2 menang kalau kalah di putaran pertama pun lebih baik dukung 3,"['pak', 'anies', 'terbaik', 'dan', 'gak', 'akan', 'saya', 'pernh', 'mau', 'mendukung', 'untuk', 'menjadi', 'paslon', '2', 'menang', 'kalau', 'kalah', 'di', 'putaran', 'pertama', 'pun', 'lebih', 'baik', 'dukung', '3']","['anies', 'terbaik', 'gak', 'pernh', 'mendukung', 'paslon', '2', 'menang', 'kalah', 'putaran', 'dukung', '3']",Positif
@riojohan Sejauh ini Anies sangat menghargai hukum. Kalau saya tidak salah baca ketika beliau menjabat sebagai gubernur pemprov DKI pernah digugat terkait sengketa dan pengadilan memutuskan pemprov DKI bersalah dan wajib membayar ganti rugi Anies menghormati putusan pengadilan tersebut.,Sejauh ini Anies sangat menghargai hukum Kalau saya tidak salah baca ketika beliau menjabat sebagai gubernur pemprov DKI pernah digugat terkait sengketa dan pengadilan memutuskan pemprov DKI bersalah dan wajib membayar ganti rugi Anies menghormati putusan pengadilan tersebut,sejauh ini anies sangat menghargai hukum kalau saya tidak salah baca ketika beliau menjabat sebagai gubernur pemprov dki pernah digugat terkait sengketa dan pengadilan memutuskan pemprov dki bersalah dan wajib membayar ganti rugi anies menghormati putusan pengadilan tersebut,sejauh ini anies sangat menghargai hukum kalau saya tidak salah baca ketika beliau menjabat sebagai gubernur pemprov dki pernah digugat terkait sengketa dan pengadilan memutuskan pemprov dki bersalah dan wajib membayar ganti rugi anies menghormati putusan pengadilan tersebut,"['sejauh', 'ini', 'anies', 'sangat', 'menghargai', 'hukum', 'kalau', 'saya', 'tidak', 'salah', 'baca', 'ketika', 'beliau', 'menjabat', 'sebagai', 'gubernur', 'pemprov', 'dki', 'pernah', 'digugat', 'terkait', 'sengketa', 'dan', 'pengadilan', 'memutuskan', 'pemprov', 'dki', 'bersalah', 'dan', 'wajib', 'membayar', 'ganti', 'rugi', 'anies', 'menghormati', 'putusan', 'pengadilan', 'tersebut']","['anies', 'menghargai', 'hukum', 'salah', 'baca', 'beliau', 'menjabat', 'gubernur', 'pemprov', 'dki', 'digugat', 'terkait', 'sengketa', 'pengadilan', 'memutuskan', 'pemprov', 'dki', 'bersalah', 'wajib', 'membayar', 'ganti', 'rugi', 'anies', 'menghormati', 'putusan', 'pengadilan']",Positif
@ISayoethy @YUT4NC7 Kader partai itu yg kpgn gibran. Anies kunjungan ke solo sekalian mampir. Tp gibran sndiri blg mereka ga pernah ngomongin politik tp ngomongin ttg perkembangan kota dll. Ya kyk anies bertamu gitu trus y disambut ama gibran. Tp klo soal anies apa mau gibran jd cawapres? Ga jwbnya,Kader partai itu yg kpgn gibran Anies kunjungan ke solo sekalian mampir Tp gibran sndiri blg mereka ga pernah ngomongin politik tp ngomongin ttg perkembangan kota dll Ya kyk anies bertamu gitu trus y disambut ama gibran Tp klo soal anies apa mau gibran jd cawapres Ga jwbnya,kader partai itu yg kpgn gibran anies kunjungan ke solo sekalian mampir tp gibran sndiri blg mereka ga pernah ngomongin politik tp ngomongin ttg perkembangan kota dll ya kyk anies bertamu gitu trus y disambut ama gibran tp klo soal anies apa mau gibran jd cawapres ga jwbnya,kader partai itu yang kpgn gibran anies kunjungan ke solo sekalian mampir tp gibran sndiri blg mereka ga pernah ngomongin politik tp ngomongin ttg perkembangan kota dll ya kyk anies bertamu gitu trus y disambut ama gibran tp kalau soal anies apa mau gibran jadi cawapres ga jwbnya,"['kader', 'partai', 'itu', 'yang', 'kpgn', 'gibran', 'anies', 'kunjungan', 'ke', 'solo', 'sekalian', 'mampir', 'tp', 'gibran', 'sndiri', 'blg', 'mereka', 'ga', 'pernah', 'ngomongin', 'politik', 'tp', 'ngomongin', 'ttg', 'perkembangan', 'kota', 'dll', 'ya', 'kyk', 'anies', 'bertamu', 'gitu', 'trus', 'y', 'disambut', 'ama', 'gibran', 'tp', 'kalau', 'soal', 'anies', 'apa', 'mau', 'gibran', 'jadi', 'cawapres', 'ga', 'jwbnya']","['kader', 'partai', 'kpgn', 'gibran', 'anies', 'kunjungan', 'solo', 'mampir', 'tp', 'gibran', 'sndiri', 'blg', 'ga', 'ngomongin', 'politik', 'tp', 'ngomongin', 'ttg', 'perkembangan', 'kota', 'dll', 'ya', 'kyk', 'anies', 'bertamu', 'gitu', 'trus', 'y', 'disambut', 'ama', 'gibran', 'tp', 'anies', 'gibran', 'cawapres', 'ga', 'jwbnya']",Netral
Perempuan di mata Abah Anies... Perempuan harus dimuliakan harus dilindungi dan kekerasan pada perempuan tidak boleh disepelekan..... https://t.co/XpMYHOwZMK,Perempuan di mata Abah Anies Perempuan harus dimuliakan harus dilindungi dan kekerasan pada perempuan tidak boleh disepelekan,perempuan di mata abah anies perempuan harus dimuliakan harus dilindungi dan kekerasan pada perempuan tidak boleh disepelekan,perempuan di mata abah anies perempuan harus dimuliakan harus dilindungi dan kekerasan pada perempuan tidak boleh disepelekan,"['perempuan', 'di', 'mata', 'abah', 'anies', 'perempuan', 'harus', 'dimuliakan', 'harus', 'dilindungi', 'dan', 'kekerasan', 'pada', 'perempuan', 'tidak', 'boleh', 'disepelekan']","['perempuan', 'mata', 'abah', 'anies', 'perempuan', 'dimuliakan', 'dilindungi', 'kekerasan', 'perempuan', 'disepelekan']",Positif
H-1 guys... Ayo persiapan mencoblos .. Mau Anies Prabowo ataupun Ganjar yang akan jadi Presiden siapapun Presidennya tetap saya dukung sepenuh hati.. Pilihan boleh beda tapi tetap satu jiwa jiwa Pancasila jiwa Indonesia https://t.co/qghCsKRsPZ,H1 guys Ayo persiapan mencoblos Mau Anies Prabowo ataupun Ganjar yang akan jadi Presiden siapapun Presidennya tetap saya dukung sepenuh hati Pilihan boleh beda tapi tetap satu jiwa jiwa Pancasila jiwa Indonesia,h1 guys ayo persiapan mencoblos mau anies prabowo ataupun ganjar yang akan jadi presiden siapapun presidennya tetap saya dukung sepenuh hati pilihan boleh beda tapi tetap satu jiwa jiwa pancasila jiwa indonesia,h1 guys ayo persiapan mencoblos mau anies prabowo ataupun   yang akan jadi presiden siapapun presidennya tetap saya dukung sepenuh hati pilihan boleh beda tapi tetap satu jiwa jiwa pancasila jiwa indonesia,"['h1', 'guys', 'ayo', 'persiapan', 'mencoblos', 'mau', 'anies', 'prabowo', 'ataupun', 'yang', 'akan', 'jadi', 'presiden', 'siapapun', 'presidennya', 'tetap', 'saya', 'dukung', 'sepenuh', 'hati', 'pilihan', 'boleh', 'beda', 'tapi', 'tetap', 'satu', 'jiwa', 'jiwa', 'pancasila', 'jiwa', 'indonesia']","['h1', 'guys', 'ayo', 'persiapan', 'mencoblos', 'anies', 'prabowo', 'presiden', 'presidennya', 'dukung', 'sepenuh', 'hati', 'pilihan', 'beda', 'jiwa', 'jiwa', 'pancasila', 'jiwa', 'indonesia']",Netral
@PartaiSocmed Kami butuh sosok pak Anies untuk menjadi pemimpin bukan penerus dinasti https://t.co/OQ7716vhiv,Kami butuh sosok pak Anies untuk menjadi pemimpin bukan penerus dinasti,kami butuh sosok pak anies untuk menjadi pemimpin bukan penerus dinasti,kami butuh sosok pak anies untuk menjadi pemimpin bukan penerus dinasti,"['kami', 'butuh', 'sosok', 'pak', 'anies', 'untuk', 'menjadi', 'pemimpin', 'bukan', 'penerus', 'dinasti']","['butuh', 'sosok', 'anies', 'pemimpin', 'penerus', 'dinasti']",Positif
salfok pak anies dengan jargon yg tidak kalah penting tuh emang dari dulu ya ,salfok pak anies dengan jargon yg tidak kalah penting tuh emang dari dulu ya,salfok pak anies dengan jargon yg tidak kalah penting tuh emang dari dulu ya,salfok pak anies dengan jargon yang tidak kalah penting tuh emang dari dulu ya,"['salfok', 'pak', 'anies', 'dengan', 'jargon', 'yang', 'tidak', 'kalah', 'penting', 'tuh', 'emang', 'dari', 'dulu', 'ya']","['salfok', 'anies', 'jargon', 'kalah', 'tuh', 'emang', 'ya']",Netral
