full_text,label,analisis,alasan kuat,
@SumitroYoel Terima kasih sama buzzer2 jahat 02 yg demonisasi Rohingya. Jujur awalnya sy jg blm tau mau milih siapa. Sy bahkan ga pernah tau sm rekam jejak pak anies. Dan dulunya jg percaya kalo pak anies cm bs ngomong gabisa kerja. Sejak rame isu rohingya kan akhirnya banyak akun yg ,Negatif,Tweet ini mengkritik buzzer yang mendemonisasi Rohingya dan menyatakan bahwa awalnya tidak tahu rekam jejak Anies dan percaya bahwa Anies hanya bisa bicara tanpa bekerja.,Frasa “cm bs ngomong gabisa kerja” menunjukkan ketidakpercayaan dan sentimen negatif terhadap Anies.,
@ekowboy2 Pro anies ajah saya mah kalo misal hasil nya tidak memuaskan hanya akan dukung 1 paslon yaitu GAMA https://t.co/x4P76XSLLQ,Positif,Tweet ini menunjukkan dukungan terhadap Anies dan menyatakan akan mendukung pasangan lain jika hasilnya tidak memuaskan.,Frasa “Pro anies ajah saya mah” menunjukkan dukungan dan sentimen positif terhadap Anies.,
Masa cuman gara gara film jadi berubah pilihan? Pilihannya cuman anies ganjar lg yang bener aje rugi dongg??,Netral,Tweet ini mempertanyakan perubahan pilihan hanya karena film dan menyebutkan pilihan antara Anies dan Ganjar.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
org2 permasalahin dibelakang anies ada pks padahal selama anies menjabat jadi gubernur pks ga aneh2. noh di belakang 03 ada pdi yg jelas jelas ngaco. partai wong cilik tai. teriak wong cilik klo jadi oposisi doang. giliran dalam koalisi pas ada kebijakan yg ga beres malah diem,Netral,Tweet ini membahas partai politik di belakang Anies dan Ganjar tanpa menunjukkan sentimen yang jelas terhadap Anies.,Fokus tweet ini lebih pada partai politik daripada Anies sendiri.,
Buat yg bilang gue mendewakan Pak Anies. Gue ngutip dari sini. Ya kali gue fanatik buta sampe mendewakan. Gue juga tau kok beliau seorang politikus dan pasti ttp ada aja kurangnya. Gue juga udh buka ruang kecewa utk beliau klo sampe gk sesuai dg ucapannya https://t.co/hiOchjwsH0,Positif,Tweet ini menunjukkan dukungan terhadap Anies sambil mengakui bahwa Anies juga memiliki kekurangan.,Frasa “gue juga tau kok beliau seorang politikus” menunjukkan pengakuan dan dukungan terhadap Anies.,
@tempodotco Pak anies terbaik dan gak akan saya pernh mau mendukung untuk menjadi paslon 2 menang kalo kalah di putaran pertama pun lebih baik dukung 3 https://t.co/oVi29MXSLZ,Positif,Tweet ini menyatakan bahwa Anies adalah yang terbaik dan tidak akan mendukung pasangan lain jika Anies kalah.,Frasa “Pak anies terbaik” menunjukkan apresiasi dan sentimen positif terhadap Anies.,
@riojohan Sejauh ini Anies sangat menghargai hukum. Kalau saya tidak salah baca ketika beliau menjabat sebagai gubernur pemprov DKI pernah digugat terkait sengketa dan pengadilan memutuskan pemprov DKI bersalah dan wajib membayar ganti rugi Anies menghormati putusan pengadilan tersebut.,Positif,Tweet ini memuji Anies karena menghargai hukum dan menghormati putusan pengadilan.,Frasa “Anies sangat menghargai hukum” menunjukkan apresiasi dan sentimen positif terhadap Anies.,
@ISayoethy @YUT4NC7 Kader partai itu yg kpgn gibran. Anies kunjungan ke solo sekalian mampir. Tp gibran sndiri blg mereka ga pernah ngomongin politik tp ngomongin ttg perkembangan kota dll. Ya kyk anies bertamu gitu trus y disambut ama gibran. Tp klo soal anies apa mau gibran jd cawapres? Ga jwbnya,Netral,Tweet ini membahas kunjungan Anies ke Solo dan pertemuan dengan Gibran tanpa menunjukkan sentimen yang jelas.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
Perempuan di mata Abah Anies... Perempuan harus dimuliakan harus dilindungi dan kekerasan pada perempuan tidak boleh disepelekan..... https://t.co/XpMYHOwZMK,Positif,Tweet ini memuji pandangan Anies terhadap perempuan dan perlindungan terhadap mereka.,Frasa “Perempuan harus dimuliakan harus dilindungi” menunjukkan apresiasi dan sentimen positif terhadap Anies.,
H-1 guys... Ayo persiapan mencoblos .. Mau Anies Prabowo ataupun Ganjar yang akan jadi Presiden siapapun Presidennya tetap saya dukung sepenuh hati.. Pilihan boleh beda tapi tetap satu jiwa jiwa Pancasila jiwa Indonesia https://t.co/qghCsKRsPZ,Netral,Tweet ini mengajak persiapan mencoblos dan menyatakan dukungan terhadap siapapun yang terpilih tanpa menunjukkan sentimen yang jelas terhadap Anies.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
@PartaiSocmed Kami butuh sosok pak Anies untuk menjadi pemimpin bukan penerus dinasti https://t.co/OQ7716vhiv,Positif,Tweet ini menyatakan kebutuhan akan sosok Anies sebagai pemimpin dan bukan penerus dinasti.,Frasa “Kami butuh sosok pak Anies” menunjukkan apresiasi dan sentimen positif terhadap Anies.,
salfok pak anies dengan jargon yg tidak kalah penting tuh emang dari dulu ya ,Netral,Tweet ini menyebutkan jargon Anies tanpa menunjukkan sentimen yang jelas.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
Setelah Amin menang pa anies dibawa cak imin sowan ke kediri . Lengser dong belio #AMINmenang,Netral,Tweet ini membahas rencana setelah kemenangan Amin tanpa menunjukkan sentimen yang jelas terhadap Anies.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
Orang2 nih kasih standart ke pak Anies ini standartnya rosul dan sahabat2nya. Mesti 100% sempurna,Netral,Tweet ini membahas standar yang diberikan kepada Anies tanpa menunjukkan sentimen yang jelas.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
Berarti bener ya framing ke muslim yang ga sejalan ama pemerintah itu dibuat jelek semua Dari KPK Anies PKS. Semua dituduh taliban/ekstrimis supaya ada alasan buat dilengserin.,Negatif,"Tweet ini mengkritik framing negatif terhadap muslim yang tidak sejalan dengan pemerintah, termasuk Anies.",Frasa “dituduh taliban/ekstrimis” menunjukkan ketidakpuasan dan sentimen negatif.,
@BosPurwa Dari dulu memang pak Anies mengedepankan etika dalam bekerja mengayomi dan menghormati rakyat kecil. Yg disampaikan Anies dari debat ini juga perubahan. Faktanya juga belaiu berhasil merubah dijakarta lebih baik,Positif,Tweet ini memuji Anies karena mengedepankan etika dan menghormati rakyat kecil serta perubahan yang dilakukan di Jakarta.,Frasa “mengayomi dan menghormati rakyat kecil” menunjukkan apresiasi dan sentimen positif terhadap Anies.,
@ulul_AlbabAya @FitnahLagicom Tanpa mengurangi rasa hormat sama pengisi acaranya ini ngebuktiin kalo massa yang dateng gak peduli mau dihibur sama siapa orang tujuannya ya liat pak anies sama cak imin wkwkw tujuannya tercapai ya pulang.,Positif,"Tweet ini menunjukkan bahwa massa yang datang hanya ingin melihat Anies dan Cak Imin, bukan pengisi acara lainnya.",Frasa “tujuannya ya liat pak anies” menunjukkan apresiasi dan sentimen positif terhadap Anies.,
@Abahpurwa1 Ya Allah jadikan lah Anies Baswedan jadi presiden tahun ini...Aamin.,Positif,Tweet ini berdoa agar Anies menjadi presiden tahun ini.,Frasa “Ya Allah jadikan lah Anies Baswedan jadi presiden” menunjukkan harapan dan sentimen positif terhadap Anies.,
emang bener pilihan gue pak Anies only,Positif,Tweet ini menyatakan bahwa Anies adalah pilihan yang benar.,Frasa “emang bener pilihan gue pak Anies only” menunjukkan keyakinan dan sentimen positif terhadap Anies.,
@anandabadudu Yg bikin pak anies menang di putaran 2 itu pak prabowo pk prabowo dateng langsung ketempat yg pak anies kalah di putaran pertama,Netral,Tweet ini menyatakan bahwa Prabowo membantu Anies menang di putaran kedua tanpa menunjukkan sentimen yang jelas.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
@alextham878 Kita gaspolkan dukung pak anies https://t.co/CmoazD2291,Positif,Tweet ini menunjukkan dukungan penuh terhadap Anies.,Frasa “gaspolkan dukung pak anies” menunjukkan dukungan dan sentimen positif terhadap Anies.,
InsyaAllah kemenangan Paslon 01 di depan mata. Besok 14 Februari kita ber1 wujudkan perubahan untuk Indonesia yg lbh baik. Ingat.. coblos nomor urut 1 Anies - Muhaimin. https://t.co/vhbj6aVsCf,Positif,Tweet ini optimis tentang kemenangan Anies dan Muhaimin serta mengajak untuk memilih mereka.,Frasa “InsyaAllah kemenangan Paslon 01 di depan mata” menunjukkan harapan dan sentimen positif terhadap Anies.,
@PartaiSocmed @Dennysiregar7 @aniesbaswedan nah ini pak Anies ajal ga ada yang tau. Pemimpin mana yang mau pendukung nya kena musibah?? begitupun masalah Harun yang bapak bawa bawa saat debat. Musibah ga ada yang tau.,Netral,Tweet ini membahas ketidakpastian hidup dan musibah tanpa menunjukkan sentimen yang jelas terhadap Anies.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
@rrrrio123 @50percenthell @AghaarXx hadeh 02 saking pak anies banyak prestasinya bingung mau di liat mana lg selain imam mahdi eh taunya hoax,Positif,Tweet ini memuji banyaknya prestasi Anies dan mengkritik hoax tentangnya.,Frasa “pak anies banyak prestasinya” menunjukkan apresiasi dan sentimen positif terhadap Anies.,
@tvOneNews Salam perubahan untuk kita semua pendukung anies Muhaimin gk duku 02 mending Ganjar kalo kalah https://t.co/QhZdXX1zRY,Positif,Tweet ini menunjukkan dukungan terhadap Anies dan Muhaimin serta menyatakan pilihan alternatif jika mereka kalah.,Frasa “Salam perubahan untuk kita semua pendukung anies Muhaimin” menunjukkan dukungan dan sentimen positif terhadap Anies.,
@YUT4NC7 jadi pertama si gibran ini pas diwawancara bilang 'ada tawaran dari pan anies' trus beberapa hari berijutnya wartawan konfirm ke pak anies dijawab yg intinya umurnya kan blm masuk kita mah nurut konstitusi aja. besok2nya yg kesebar kalo pak anies minta gibran tapi ditolak,Netral,Tweet ini membahas wawancara Gibran dan klarifikasi Anies tanpa menunjukkan sentimen yang jelas.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
buat semua yg ada dibalik hal-hal kreatif tentang Pak Anies terimakasih. Kalian keren sekali,Positif,Tweet ini mengucapkan terima kasih kepada tim kreatif Anies.,Frasa “Kalian keren sekali” menunjukkan apresiasi dan sentimen positif terhadap Anies.,
@Fahrihamzah Pendukungnya anies yang terbaik sampe kalah nanti sih lebih baik pilih 03 dri pada 02 https://t.co/DATYUgevQ4,Positif,Tweet ini memuji pendukung Anies dan menyatakan pilihan alternatif jika Anies kalah.,Frasa “Pendukungnya anies yang terbaik” menunjukkan apresiasi dan sentimen positif terhadap Anies.,
@alextham878 kalo Anies kalah mendingan kita dukung Ganjar aja https://t.co/u33zmXLOAp,Netral,Tweet ini menyatakan pilihan alternatif jika Anies kalah tanpa menunjukkan sentimen yang jelas.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
@fndltm_24 @StreliziaxAlpha @GodHyolyn @RisaHart gibran ngga seworth itu buat direbutin padahal dia yg nunggu2 tawaran dari pak anies lawak lu https://t.co/cdBPjPAHqx,Netral,Tweet ini membahas Gibran dan tawaran dari Anies tanpa menunjukkan sentimen yang jelas.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
@ucenpacen @btr_boychaa @Bull_winner Itu kan misalnya nyatanya Anies gapernah bilang itu hasil karyanya beliau sll bilang ini hasil karya anak bangsa krn faktanya 100% dikerjakan oleh orang lokal. Btw situ oot ini konteksnya lg bahas bansos,Positif,Tweet ini memuji Anies karena selalu mengakui hasil karya anak bangsa.,Frasa “Anies gapernah bilang itu hasil karyanya” menunjukkan apresiasi dan sentimen positif terhadap Anies.,
@ekowboy2 Kami yakin pada pak Anies satu putaran jika tidak memungkinkan paling pilih Ganjar lebih baik https://t.co/D6D7L7Lbij,Positif,Tweet ini menunjukkan keyakinan terhadap Anies dan menyatakan pilihan alternatif jika Anies kalah.,Frasa “Kami yakin pada pak Anies” menunjukkan keyakinan dan sentimen positif terhadap Anies.,
@Mdy_Asmara1701 Pilih pak anies demi masa depan Indonesia https://t.co/cVNFlPObaP,Positif,Tweet ini mengajak untuk memilih Anies demi masa depan Indonesia.,Frasa “Pilih pak anies demi masa depan Indonesia” menunjukkan dukungan dan sentimen positif terhadap Anies.,
@tempodotco Kalo Anies kalah yuk kita dukung Ganjar deh lebih bagus. https://t.co/yfjgl3djzZ,Netral,Tweet ini menyatakan pilihan alternatif jika Anies kalah tanpa menunjukkan sentimen yang jelas.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
Yg gue rasakan skrg antara pengen anies menang tapi sisi lain gue takut juga blio ini klo jadi presiden makin makin cobaan idupnya. Jadi gubernur aja fitnahan ke blio udh gila-gilaan dijegal sana sini. Apapun hasilnya semoga yang terbaik buat rakyat dan juga buat pak anies ,Positif,Tweet ini menunjukkan dukungan terhadap Anies sambil mengakui tantangan yang dihadapinya.,Frasa “semoga yang terbaik buat rakyat dan juga buat pak anies” menunjukkan harapan dan sentimen positif terhadap Anies.,
@SumitroYoel Lahh yg maen framing kan ahog dia yg senggol senggol kitab suci umat Islam ngapa anies yg jadi sasaran itu mah bego namanya. Yg lempar batu siapa yg disalahin siapa Fix ahoker berat. Moga tobat,Negatif,Tweet ini mengkritik framing negatif terhadap Anies.,Frasa “ngapa anies yg jadi sasaran” menunjukkan ketidakpuasan dan sentimen negatif.,
@cnbcindonesia Anies Baswedan aja Track recordnya Bagus Berprestasi dan diakui Dunia. Klo Wowo Gk ada prestasinya yg ada malah Jejak Hitamnya Perusak Lingkungan Food Estate yg GAGAL Klo Pak Uban Hobbynya Yang Gak Banget Gak bagus dijadikan Panutan apalagi pemimpin negara.,Positif,Tweet ini memuji prestasi Anies dan mengkritik calon lain.,Frasa “Track recordnya Bagus Berprestasi dan diakui Dunia” menunjukkan apresiasi dan sentimen positif terhadap Anies.,
@jokowi bisa beralih ke yg lain klo anies gak menang asal bukan prabowo aja https://t.co/VQede5UqYI,Netral,Tweet ini menyatakan pilihan alternatif jika Anies kalah tanpa menunjukkan sentimen yang jelas.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
@yshmne___ Pernah ada yg buat stori trus backsoundnya mahabarata dengan mengatakan beliau sengkuni hanya karna mimik muka dan wajah pak anies yg seperti pak anies itu wqwqwq,Netral,Tweet ini membahas cerita tentang Anies tanpa menunjukkan sentimen yang jelas.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
@alextham878 Ya dari pada 02 aku sih mending pilih 03 kalo pak anies kalah https://t.co/nLCrIQNOWP,Netral,Tweet ini menyatakan pilihan alternatif jika Anies kalah tanpa menunjukkan sentimen yang jelas terhadap Anies.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
Aku juga mau ikut testi! Real aku dari awal gak suka pak anies karena ya framing beliau pinter ngomong doang dll. Bahkan aku terlalu melibatkan perasaan buat dukung paslon lain yaitu 02. But... i realize klo pake perasaan gak make sense buat indo 5 tahun kedepan (cont),Negatif,Tweet ini mengkritik Anies dengan menyebutnya hanya pintar berbicara dan menyatakan ketidaksukaan sejak awal.,Frasa “gak suka Pak Anies karena ya framing beliau pintar ngomong doang” menunjukkan ketidakpuasan dan sentimen negatif terhadap Anies.,
Kalo pak Anies kalah tolong websitenya jangan dihapus ya pak? walaupun saya yakin bayar domain nya pasti mahal huhu @aniesbaswedan Website yang ini https://t.co/x1El8wbtRL,Netral,Tweet ini meminta agar website Anies tidak dihapus jika dia kalah tanpa menunjukkan sentimen yang jelas.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
@PartaiSocmed Med pendukung 01 mayoritas datang untuk Mas Anies. Bukan untuk hiburan. Ketika Mas Anis usai mereka beransgur pulang terlebih sudah azan dzuhur.,Positif,"Tweet ini menunjukkan bahwa pendukung Anies datang khusus untuk mendukungnya, bukan untuk hiburan.",Frasa “mayoritas datang untuk Mas Anies” menunjukkan dukungan dan sentimen positif terhadap Anies.,
Salah satu cuplikannya saat Pak Anies bertugas mengumumkan berita duka ke setiap kelas saat SMP. Di sini terlatih public speaking dan tahan menghadapi orang yang ngata-ngatain. https://t.co/tmkC5P5NC9,Positif,Tweet ini memuji kemampuan Anies dalam berbicara di depan umum dan ketahanannya menghadapi kritik.,Frasa “terlatih public speaking dan tahan menghadapi orang yang ngata-ngatain” menunjukkan apresiasi dan sentimen positif terhadap Anies.,
@Mdy_Asmara1701 Kenapa harus golput kalo.punya pak anies https://t.co/b3vJEeyPAB,Positif,Tweet ini mengajak untuk memilih Anies daripada golput.,Frasa “Kenapa harus golput kalau punya Pak Anies” menunjukkan dukungan dan sentimen positif terhadap Anies.,
@Tita83079013 @aniesbaswedan Wkwkwk ketika gk bisa nyari kekurangan buat nyerang NARASI BASI dikeluarkan. Segitu TAKUT dan GEMETARNYA klo Anies smpe naik. SEISI ISTANA TURUN GUNUNG. CUPUUU !!! BANCIII !!! Ibarat berantem ngajak2 EMAK AKWKWKW BANCII !!!,Negatif,Tweet ini mengkritik pihak yang takut jika Anies naik dengan nada mengejek.,Frasa “Segitu TAKUT dan GEMETARNYA kalau Anies sampai naik” menunjukkan ketidakpuasan dan sentimen negatif terhadap Anies.,
@migrenterus_ @jalanparis Anies sebenarnya sebal sama Imin cuma karena dia gamau dicap gemoysian seperti Prabowo Subianto jadi dia cukup nyengir aja liat elektabilitasnya turunï¸ @aniesbaswedan kasian banget kamu pak harus jadi baby sitter ,Negatif,Tweet ini mengkritik hubungan Anies dengan Imin dan menyebut Anies sebagai “baby sitter”.,Frasa “kasian banget kamu pak harus jadi baby sitter” menunjukkan ketidakpuasan dan sentimen negatif terhadap Anies.,
Anies hrs sempurna pendukungnya hrs sempurna kalo pun terjadi ttp aja mrk milih yg laen wkwk,Netral,Tweet ini menyatakan bahwa Anies dan pendukungnya harus sempurna tanpa menunjukkan sentimen yang jelas.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
@burhanrp @phsycalgraffiti @sveensky Apa hubungannya Pemuda Pancasila sm Anies Baswedan? PP bikinan orba jelas lbh condong ke Prabowo,Netral,Tweet ini mempertanyakan hubungan antara Pemuda Pancasila dan Anies tanpa menunjukkan sentimen yang jelas.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
@HakunaM24121873 @YUT4NC7 Kader nasdem yg pengen gibran jd cawapresnya anies kayanya. Tp anies mah gak mau,Netral,Tweet ini hanya menyatakan pendapat tentang preferensi cawapres tanpa menunjukkan sentimen yang jelas terhadap Anies.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
@peachyslen @strike_bravo_b Damn I want to throw the are you fucking blind? card to her so bad. Pendekatan Anies soal diskriminasi udah tepat padahal. Tidak ada mayoritas minoritas adanya WNI. None above the law karena hukum bisa memberi kepastian &amp; keadilan. It did translate on his governor era.,Positif,Tweet ini memuji pendekatan Anies terhadap diskriminasi dan hukum.,Frasa “Pendekatan Anies soal diskriminasi udah tepat” menunjukkan apresiasi dan sentimen positif terhadap Anies.,
@lilrwok untung keluarga gue 1 pilihan semua pak anies bahkan 1 keluarga besar dari buyut sampe nene wkwkwk yaa karna orang Jakarta juga si jadi ngerasain gimana semua program pak anies hihi loveeee abah @aniesbaswedan,Positif,Tweet ini menunjukkan dukungan kuat dari keluarga besar terhadap Anies.,Frasa “loveeee abah @aniesbaswedan” menunjukkan dukungan dan sentimen positif terhadap Anies.,
@Mdy_Asmara1701 Dari pada golput mending pilih pak anies https://t.co/Knn4uvgK3K,Positif,Tweet ini mengajak untuk memilih Anies daripada golput.,Frasa “Daripada golput mending pilih Pak Anies” menunjukkan dukungan dan sentimen positif terhadap Anies.,
W udh di titik gapapa legowo pak anies kalah this cruel world doesn t deserve him: ) Yg penting kita usahakan dulu meski sbnrnya dr awal udh keliatan kok yg menang siape,Netral,Tweet ini menyatakan penerimaan jika Anies kalah tanpa menunjukkan sentimen yang jelas.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
@RomitsuT BPJS buat PEMULUNG ? Ada yang punya pemikiran sampai kesitu? Ada Ahok. Karena itu programnya Ahok dari 2016. Bukan program abah Anies kak.,Negatif,Tweet ini mengkritik klaim program Anies dengan menyebutnya sebagai program Ahok.,Frasa “Bukan program abah Anies kak” menunjukkan ketidakpuasan dan sentimen negatif terhadap Anies.,
@itsindahg masi aja bhs isu mayoritas vs minoritas? seneng yg ngotak2in org? klo yg anda maksud umat kristen dll di jkt baik2 saja gereja dikasi izin zaman pak anies yg sdh lama mangkrak izinnya bantuan operasional dikasi jg acara2 keagamaan di tempat publik dki diizinkan trs apa lg?,Positif,Tweet ini memuji kebijakan Anies terhadap izin gereja dan acara keagamaan.,Frasa “gereja dikasih izin zaman Pak Anies” menunjukkan apresiasi dan sentimen positif terhadap Anies.,
Awal notice pak anies bgt pas feb 2020 itu smstr 3 matkul biostatistika dosenku pake data prediksi perbandingan penyebaran covid di jerman milik dki jakarta. Wktu itu Indo blm resmi diumumin tp dri jan-feb dosenku dah ngwantiÂ² bkl smpe indo. Dan blng baru pak anies yg aware bgt,Positif,Tweet ini memuji kesadaran Anies terhadap COVID-19 sejak awal.,Frasa “baru Pak Anies yang aware banget” menunjukkan apresiasi dan sentimen positif terhadap Anies.,
@o123Typo Oh iya mahfud kabinet jokowi oh tidakk. Foto anies sa jojok waktu masih menteri ada ga ,Netral,Tweet ini hanya bertanya tentang foto tanpa menunjukkan sentimen yang jelas terhadap Anies.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
Satu jam lebih dialog Pak Anies dengan UAS. Pak Anies menceritakan masa kecil beliau masa remaja sampai sekarang. UAS mendengar pengalaman dan jalan hidup Anies kemudian bilang Terjawab sudah kenapa bisa tahan di-bully terlatih tenang saat dihujat. https://t.co/fkYYz8bwAT,Positif,Tweet ini memuji ketenangan Anies dalam menghadapi kritik.,Frasa “terjawab sudah kenapa bisa tahan di-bully terlatih tenang saat dihujat” menunjukkan apresiasi dan sentimen positif terhadap Anies.,
@xcvbhnjkkllpgfx @SumitroYoel Anies banyak dibully salah satunya karena punya program sumur resapan tapi ternyata masyarakat Jakarta mengakui dampak baiknya dengan adanya sumur resapan banjir cepat surut. https://t.co/B8cbNTSSMU,Positif,Tweet ini memuji program sumur resapan Anies yang diakui masyarakat.,Frasa “masyarakat Jakarta mengakui dampak baiknya” menunjukkan apresiasi dan sentimen positif terhadap Anies.,
@justiceforbiebz @ccacon Naah iniii aku pernah bilang ke temenku yang nanya kenapa nggak suka si ajudan pak prab itu aku bilang ajudan pak anies lebih ganteng.,Netral,Tweet ini hanya membandingkan ajudan tanpa menunjukkan sentimen yang jelas terhadap Anies.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif terhadap Anies.,
@elisa_jkt Sepertinya butuh video-video testimoni terkait warga yg sudah menikmati program DP 0 persen. Sama sprti warga kampung aquarium atau bayam yg sudah merasakan langsung program pak Anies. VideoÂ² mereka ini jd senjata ampuh melawan fitnahÂ² terutama terkait topik penggusuran wktu itu,Positif,Tweet ini memuji program DP 0 persen Anies dan dampaknya.,Frasa “warga yang sudah menikmati program DP 0 persen” menunjukkan apresiasi dan sentimen positif terhadap Anies.,
