created_at,full_text,username,label_manually,analisis
Mon Feb 12 23:55:14 +0000 2024,@Ndons_Back @99propaganda @bengkeldodo @are_inismyname @florieliciouss @Bank_Joee_ @BANGSAygSUJUD @AditBandit234 @Lembayung071 @P4P4B0W0_2024 @cuitcuap_ All in 01 dongg kalo sampe kalah pun mendingan pilih nya ke pak ganjar aja aku https://t.co/HE3a1YZv7d,sayahmaul,Positif,Tweet ini menunjukkan dukungan terhadap Ganjar dengan menyatakan pilihan untuk memilihnya jika kandidat lain kalah.
Mon Feb 12 23:55:03 +0000 2024,bro alam ganjar is old kpopers??,yaerimiese,Netral,Tweet ini tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.
Mon Feb 12 23:54:51 +0000 2024,@ganjarpranowo @ernestprakasa Kemarin juga nonton film ini pak salah satu film keluarga terbaik pak ganjar.,siviargh,Positif,Tweet ini memuji Ganjar Pranowo dengan menyebutkan film keluarga terbaik yang ditonton bersama.
Mon Feb 12 23:54:44 +0000 2024,@Bull_winner Buat yang koar2 dibaca dulu terus linknya dibuka jangan link yg di tonton pak ganjar aja yg lu buka,b4bygir7_,Negatif,Tweet ini mengkritik orang yang hanya membuka link yang ditonton oleh Ganjar.
Mon Feb 12 23:54:43 +0000 2024,Kalau gak mau jadi Gen 2.0 ya lebih baik jangan pilih Gen 2.3 Sesederhana itu kok !!,AgusKuswanto121,Negatif,Tweet ini menyarankan untuk tidak memilih Ganjar dengan perbandingan yang negatif.
Mon Feb 12 23:54:41 +0000 2024,tw gak semalem aku mimpi alam ganjar DIKASIH album redvelvet,wonnuist,Netral,Tweet ini menceritakan mimpi yang tidak relevan dengan politik.
Mon Feb 12 23:54:38 +0000 2024,@KEBUMENinLOVE @An4Julie @drReUtari08 @AditBandit234 @Abahpurwa1 @Abaaah @_NusantaraLand_ @99propaganda @Ndons_Back @03__nakula @DarekaRendy @Ganjar_Mahfud03 Gila lu ndro,winnely24,Netral,Tweet ini menggunakan bahasa informal tanpa konteks yang jelas.
Mon Feb 12 23:54:35 +0000 2024,@tvOneNews Salam perubahan untuk kita semua pendukung anies Muhaimin gk duku 02 mending Ganjar kalo kalah https://t.co/QhZdXX1zRY,Ginooowx,Netral,"Tweet ini menunjukkan dukungan terhadap Anies dan Muhaimin, dengan Ganjar sebagai pilihan kedua."
Mon Feb 12 23:54:27 +0000 2024,AKU SEDANG JATUH CINTA DENGAN ALAM GANJAR,cruelautmn,Netral,Tweet ini menyatakan perasaan pribadi yang tidak relevan dengan politik.
Mon Feb 12 23:54:22 +0000 2024,@ganjarpranowo Ganjar Mahfud 03,salasatun368,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud.
Mon Feb 12 23:54:07 +0000 2024,@ccacon Malah ada yg bandingin sama alam ganjar dong ,mellinda_fauzia,Netral,Tweet ini membandingkan tanpa konteks yang jelas.
Mon Feb 12 23:54:02 +0000 2024,@alextham878 kalo Anies kalah mendingan kita dukung Ganjar aja https://t.co/u33zmXLOAp,AzhivaL,Netral,Tweet ini menunjukkan dukungan terhadap Ganjar sebagai pilihan kedua.
Mon Feb 12 23:53:43 +0000 2024,@Masinton @KPU_ID @bawaslu_RI Di vidio yg di coblos Ganjar kan ya jadi dari partai bapak jg kan ya,Ferdinand210053,Netral,Tweet ini menanyakan tentang video pencoblosan Ganjar.
Mon Feb 12 23:53:35 +0000 2024,@aruna_bayu @alamganjar14 Asli. Aku kesini karena ditunjukin p ganjar,ninok_snow,Netral,Tweet ini menyatakan alasan kehadiran tanpa konteks yang jelas.
Mon Feb 12 23:53:34 +0000 2024,@ekowboy2 Kami yakin pada pak Anies satu putaran jika tidak memungkinkan paling pilih Ganjar lebih baik https://t.co/D6D7L7Lbij,JaehyunieeJw,Netral,Tweet ini menunjukkan dukungan terhadap Anies dengan Ganjar sebagai pilihan kedua.
Mon Feb 12 23:53:15 +0000 2024,@tempodotco Kalo Anies kalah yuk kita dukung Ganjar deh lebih bagus. https://t.co/yfjgl3djzZ,AzhivaL,Netral,Tweet ini menunjukkan dukungan terhadap Ganjar sebagai pilihan kedua.
Mon Feb 12 23:53:05 +0000 2024,bisa aja Pak Ganjar ,Pprimilly,Netral,Tweet ini menyatakan kemungkinan tanpa konteks yang jelas.
Mon Feb 12 23:52:58 +0000 2024,@TirtoID all in ganjar mahfud,inizahrajugaa,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud.
Mon Feb 12 23:52:32 +0000 2024,@ganjarpranowo @ernestprakasa Ganjar Mahfud memang terbaik,salasatun368,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka yang terbaik.
Mon Feb 12 23:52:23 +0000 2024,@stargzie alamnya pak ganjar alias anak e mbak,jjovaaanka,Netral,Tweet ini menyebutkan �alamnya pak ganjar� tanpa konteks yang jelas.
Mon Feb 12 23:52:04 +0000 2024,DV tidak utk menarik suara 02. DV hanyalah potret kehidupan nyata di lapangan selama pilpres ini. Bagi mereka yg takut azab tuhan pasti akan beralih pilihan ke 03 atau 01.,AgusKuswanto121,Netral,Tweet ini membahas potret kehidupan nyata selama pilpres tanpa menunjukkan dukungan atau penolakan yang jelas terhadap Ganjar.
Mon Feb 12 23:51:59 +0000 2024,@Klonthong_Sapi @kangdede78 Lol di Malaysia TKI semua yel yel Anies kalah Prabowo yg dipilih. Ganjar kaga ada sama sekali,Whoru90408865,Negatif,Tweet ini menyatakan bahwa Ganjar tidak dipilih sama sekali oleh TKI di Malaysia.
Mon Feb 12 23:51:34 +0000 2024,@UGM_FESS MENGAMANKAN ANGGOTA PDIP YANG TERLIBAT. BAHKAN NAMA GANJAR DISEBUTKAN DALAM KEGIATAN KORUPSI E-KTP TERSEBUT. BARULAH DI 2021 KITA MENDENGAR ADANYA NIAT JOKOWI DALAM PEMBUBARAN KPK YANG MANA SAAT ITU BANYAK MAHASISWA YANG MELAKUKAN DEMO DAN 3 TOKOH DALAM DIRTY VOTE MERUPAKAN TOKOH,arhan_fikr56029,Negatif,Tweet ini menyebutkan keterlibatan Ganjar dalam kegiatan korupsi E-KTP.
Mon Feb 12 23:51:27 +0000 2024,@tvOneNews Kita harus berfikir bahwa 01 lah yang terbaik dsn unggil jadi pemimpin saat ini bukan yang lain kalo kalah pun cuman pilih Ganjar https://t.co/hzqLnmvXi2,JaehyunieeJw,Netral,Tweet ini menunjukkan dukungan terhadap 01 dengan Ganjar sebagai pilihan kedua.
Mon Feb 12 23:50:43 +0000 2024,Hadah Alam Ganjar,Destiny4ngelina,Netral,Tweet ini menyebutkan �Alam Ganjar� tanpa konteks yang jelas.
Mon Feb 12 23:50:40 +0000 2024,@islah_bahrawi Tetap Ganjar,SiburianRaja,Positif,Tweet ini mendukung Ganjar dengan menyebutkan �Tetap Ganjar�.
Mon Feb 12 23:50:11 +0000 2024,Setiap suara adalah harapan mari kita wujudkan dengan memilih Ganjar - Mahfud. Ganjar Pranowo hanya yang terbaik untuk rakyat @bangobayu #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/pUeu4sSAZQ,anggarasabtaa,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dan mengajak orang untuk memilih mereka.
Mon Feb 12 23:49:45 +0000 2024,Banyak meme beredar: 01 = Anies = Surya Paloh 02 = Gibran = Jokowi 03 = Ganjar = Megawati Biasanya meme itu disebarkan oleh pendukung 02. Ya sebetulnya penyederhanaan itu adalah pembodohan pada masyarakat. Utamanya generasi muda yang literasinya miris https://t.co/nCJkvDTAbz,IndoMeals,Negatif,Tweet ini menyebutkan bahwa penyederhanaan tersebut adalah pembodohan pada masyarakat.
Mon Feb 12 23:49:42 +0000 2024,@ganjarpranowo @ernestprakasa Mari kita dukung terus Ganjar Mahfud pemimpin yang jujur dan anti korupsi ,xinnntzy83,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka jujur dan anti korupsi.
Mon Feb 12 23:49:37 +0000 2024,@geloraco Lah dia nya aja plin plan kan . Udah paling bener dukung pak Anies yg jauh dari kata curang atau pilihan alternatif kalo pak Anies kalah ya pilih Ganjar aja jangan prabowo lah ngeri https://t.co/X7kl8PTsfa,ChikalAlfatih,Netral,Tweet ini menunjukkan dukungan terhadap Anies dengan Ganjar sebagai pilihan kedua.
Mon Feb 12 23:49:26 +0000 2024,@JhontalJk Pilih Ganjar dan Mahfud itu sudah,LuluLucyanna,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka sebagai pilihan yang sudah pasti.
Mon Feb 12 23:49:16 +0000 2024,Memang semuanya itu fakta. Yang tidak fakta adalah suburnya tanaman singkong di food estate.,AgusKuswanto121,Netral,Tweet ini membahas fakta tanpa konteks yang jelas terhadap Ganjar.
Mon Feb 12 23:49:12 +0000 2024,alam ganjar,ryoidl,Netral,Tweet ini menyebutkan �alam ganjar� tanpa konteks yang jelas.
Mon Feb 12 23:49:01 +0000 2024,@ganjarpranowo @ernestprakasa Gasssspollll Ganjar Mahfud pemimpin yang amanah dan merakyat ️,ballTzyyy,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka amanah dan merakyat.
Mon Feb 12 23:48:58 +0000 2024,Ganjar - Mahfud memberikan dorongan kepada relawan untuk tetap bersemangat dalam menjaga proses pemilihan hingga selesai di TPS. Kesejahteraan berlipat ganda Indonesia Makmur Sentosa @haloimun_ #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/hjtMh48H8E,linaameldaa,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebutkan dorongan mereka kepada relawan dan kesejahteraan Indonesia.
Mon Feb 12 23:48:53 +0000 2024,@jyvelve AKU JUGA NGGK TAUTP TEEL AKU PENUH SAMA ALAM GANJAR,cwekjjaNgHaww,Netral,Tweet ini menyatakan perasaan pribadi yang tidak relevan dengan politik.
Mon Feb 12 23:48:18 +0000 2024,@gus_muslih @aniesbaswedan @cakimiNOW Pilih Ganjar ___ Mahfud,LuluLucyanna,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebutkan pilihan untuk mereka.
Mon Feb 12 23:48:17 +0000 2024,@niiceinfo semua mutualku tweetsnya ALAM GANJAR,loatheud,Netral,Tweet ini menyebutkan �alam ganjar� tanpa konteks yang jelas.
Mon Feb 12 23:48:13 +0000 2024,@Melihat_Indo Keren my presiden 2024 bpk Ganjar pranowo semoga sehat slalu Pak... Ganjar Mahfud Hebat #Coblos3 https://t.co/2k21Zr6Sgh,hoba2007,Positif,Tweet ini mendukung Ganjar Pranowo sebagai presiden 2024 dan menyebutkan pasangan Ganjar-Mahfud sebagai hebat.
Mon Feb 12 23:47:48 +0000 2024,@ganjarpranowo Mari kita dukung terus Ganjar Mahfud pemimpin yang amanah dan dekat dengan Masyarakat ,CukrukK,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka amanah dan dekat dengan masyarakat.
Mon Feb 12 23:47:47 +0000 2024,Rasa optimis Ganjar - Mahfud menjadi pendorong para pendukungnya untuk hadir di TPS dengan semangat positif. Ganjar Pranowo terbukti mensejahterakan @hatkorjowo #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/wuHq7h8YeJ,bintangrafiii,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebutkan rasa optimis dan kesejahteraan yang diberikan oleh Ganjar Pranowo.
Mon Feb 12 23:47:28 +0000 2024,@dwifajard Iya yaudah lanjutin aja hahaha,ganjargun85,Netral,Tweet ini menggunakan bahasa informal tanpa konteks yang jelas.
Mon Feb 12 23:47:05 +0000 2024,#IMS2020: Begini Lho Gaya Kepemimpinan Ganjar Pranowo https://t.co/NPXty8ywuq,Popbela_com,Positif,Tweet ini membagikan artikel tentang gaya kepemimpinan Ganjar Pranowo.
Mon Feb 12 23:46:57 +0000 2024,Ada banyak wakil partai dan sukarelawan militan di KPPS di semua tingkatan yang beroposisi dng 02. Jadi jangan bermain di tanah basah bisa tenggelam nanti.,AgusKuswanto121,Netral,Tweet ini memberikan peringatan tanpa konteks yang jelas terhadap Ganjar.
Mon Feb 12 23:46:42 +0000 2024,trima uangnya coblosnya tetap 03,WongeG1man,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyarankan untuk tetap memilih mereka meskipun menerima uang dari pihak lain.
Mon Feb 12 23:46:35 +0000 2024,@ganjarpranowo Ganjar Mahfud TOP BGT. Paling cocok jadi presiden RI ,tepat_sasarann,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka paling cocok jadi presiden RI.
Mon Feb 12 23:46:19 +0000 2024,@ganjarpranowo Ganjar Mahfud TOP BGT. Paling cocok jadi presiden RI ,tepat_sasarann,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka paling cocok jadi presiden RI.
Mon Feb 12 23:46:16 +0000 2024,@WotaSepuh48 @baymaaks @imanlagi 03 itu cuma kecewa Jokuwi gak pilih Ganjar padahal dulu Jokuwi promosi Ganjar.. Jokuwi ingin Ganjar duet dg Prabowo namun masing² gak mau jadi Wapres dan akhirnya pecah kongsi..,RumahStrawbery,Netral,Tweet ini membahas kekecewaan terhadap Jokowi tanpa konteks yang jelas terhadap Ganjar.
Mon Feb 12 23:46:11 +0000 2024,@ganjarpranowo Masyarakat Papua antusias menyambut pemimpin yang sederhana dan ramah Pak Ganjar,Xinnn1555145,Positif,Tweet ini mendukung Ganjar dengan menyebutkan antusiasme masyarakat Papua.
Mon Feb 12 23:45:43 +0000 2024,MATERI KAMPANYE Anies = beribadah sholawat bersama dpt kawan baru saling doakan dpt konsep perubahan utk keadilan Prabo = dpt angkutan makan amplop kaos &amp; joged2 Ganjar = dpt angkutan makan amplop kaos &amp; hiburan,faridelhakamy12,Netral,Tweet ini membandingkan materi kampanye tanpa menunjukkan preferensi yang jelas.
Mon Feb 12 23:45:35 +0000 2024,@ganjarpranowo @ernestprakasa Ganjar Mahfud TOP BGT. Paling cocok jadi presiden RI ,tepat_sasarann,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka paling cocok jadi presiden RI.
Mon Feb 12 23:45:32 +0000 2024,@ganjarpranowo Pak Ganjar sosok pemimpin yang dekat dengan Masyarakat Papua,TzyKennn,Positif,Tweet ini mendukung Ganjar dengan menyebutkan kedekatannya dengan masyarakat Papua.
Mon Feb 12 23:45:26 +0000 2024,@DokterTifa Mantap pilih pak anies kalau kalah atau gagal di putaran pertama punn gue ke ganjar aja drpd 02 https://t.co/79Gl1RqMvT,UIswantoro,Netral,"Tweet ini menyatakan preferensi untuk Anies, tetapi akan memilih Ganjar jika Anies kalah."
Mon Feb 12 23:45:05 +0000 2024,@ganjarpranowo Pak Ganjar sosok pemimpin yang amanah dan merakyat banget ️,xinnntzy83,Positif,Tweet ini mendukung Ganjar dengan menyebutnya amanah dan merakyat.
Mon Feb 12 23:44:59 +0000 2024,@yusuf_dumdum Apapun yang terjadi tetap ganjar pranowo dan Mahfud MD pilihan saya salam 3 jari ,Windy28377845,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka sebagai pilihan.
Mon Feb 12 23:44:50 +0000 2024,@SumitroYoel Ternyata program-programnya jalan kok walaupun ga 100% berhasil. Bahkan hal-hal yang mungkin ga terpikir oleh yang lain tapi beliau pikirkan. Rasa empatinya tinggi cara jawab saat debat dan desak anies. *Ini nyari tahu soal fitnah ga cuma tentang pak anies kok pak ganjar juga,ichheisseWe,Positif,Tweet ini mendukung Ganjar dengan menyebutkan program-programnya dan rasa empatinya.
Mon Feb 12 23:44:35 +0000 2024,@ganjarpranowo Mari kita dukung terus Ganjar Mahfud pemimpin yang jujur dan anti korupsi ,tzy_udil,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka jujur dan anti korupsi.
Mon Feb 12 23:44:30 +0000 2024,kalo milih amin dadi negoro arab Lk ganjar yoiku koyo megawati korupsi Lk milih prabowo dadi dikuasay cina pusat pusat kota akan di kuasay mereka dan orang orang pribumi akan nyingkrih satu persatu kebawah pusat pusat kota di kuasay mereka skrg liat aja surabaya ya ayo di pilih²,bLitar_KEDiri,Negatif,Tweet ini mengkritik Ganjar dengan menyebutnya korupsi.
Mon Feb 12 23:44:19 +0000 2024,@AirinDatangLagi Mengalahkan ganjar dan pdip adalah tugas yg mulia. Pahalanya seperti menyelematkan negara dari kehancuran.,Lamon_gray,Negatif,Tweet ini mengkritik Ganjar dan PDIP dengan menyebut mengalahkan mereka sebagai tugas mulia.
Mon Feb 12 23:44:10 +0000 2024,@pikiran_rakyat ‍ Jangan gentar...ada Ganjar...jangan takut ada Mahfud ️ Ganjar Mahfud Hebat #Coblos3 https://t.co/Zum2d4OHXL,tanveerbilgrami,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka hebat.
Mon Feb 12 23:44:05 +0000 2024,@Jayabay19479190 Amin. Amin. Amin semoga Ganjar__ Mahfud unggul,LuluLucyanna,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan harapan mereka unggul.
Mon Feb 12 23:44:05 +0000 2024,@ganjarpranowo Gasssspollll Ganjar Mahfud MD pemimpin yang amanah dan terbaik ,ballTzyyy,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka amanah dan terbaik.
Mon Feb 12 23:43:40 +0000 2024,@ganjarpranowo pak ganjar selalu memberi solusi terbaik untuk masyarakat,inenovel925,Positif,Tweet ini mendukung Ganjar dengan menyebutnya selalu memberi solusi terbaik.
Mon Feb 12 23:43:32 +0000 2024,KPU di sini adalah para processor asli lulusan negeri Konoha !! ...ekwkwkwk...,AgusKuswanto121,Netral,Tweet ini menggunakan humor tanpa konteks yang jelas terhadap Ganjar.
Mon Feb 12 23:43:32 +0000 2024,@ganjarpranowo Pak Ganjar sosok pemimpin yang amanah dan merakyat banget ️,CukrukK,Positif,Tweet ini mendukung Ganjar dengan menyebutnya amanah dan merakyat.
Mon Feb 12 23:42:36 +0000 2024,eh kenapa dah klo org2 suka alam ganjar. mau kaya anak kabupaten kaya satria kaya siapa jg ydh biarin aja. salty amat.,shasamatilda,Netral,Tweet ini menyatakan pendapat pribadi tanpa konteks yang jelas terhadap Ganjar.
Mon Feb 12 23:41:59 +0000 2024,@kdrama_menfess jeong ganjar,zuxhin,Netral,Tweet ini menyebutkan nama tanpa konteks yang jelas.
Mon Feb 12 23:41:51 +0000 2024,@IdonNara Penjilat jokowi ya...,Bambangmulyonoo,Negatif,Tweet ini mengkritik Jokowi tanpa konteks yang jelas terhadap Ganjar.
Mon Feb 12 23:41:38 +0000 2024,Mengintip Rumah Baru Ganjar Pranowo di Wedomartani Begini Kata Para Tetangga https://t.co/Ig6C8WOMIJ,Gatottiwul21,Netral,Tweet ini hanya memberikan informasi tentang rumah baru Ganjar Pranowo tanpa memberikan opini atau emosi yang jelas.
Mon Feb 12 23:38:43 +0000 2024,@kompascom wong ....... kwi bebaaasss wong ......... kwi bebaaaaass ,WongeG1man,Netral,Tweet ini tidak memberikan konteks yang jelas dan tidak ada indikasi sentimen terhadap Ganjar Pranowo.
Mon Feb 12 23:38:43 +0000 2024,@ganjarpranowo Pak Ganjar memang sosok yang selalu menginspirasi kita sebagai generasi penerus,tombol_1991,Positif,Tweet ini memuji Ganjar Pranowo sebagai sosok inspiratif.
Mon Feb 12 23:38:20 +0000 2024,Tapi menggunakan Kiayi untuk dapet simphatik spy keliatan termasuk golongan taat agama. Tuhan aja dibohongin apalagi manusia !! ....wkwkwkek...,AgusKuswanto121,Negatif,"Tweet ini mengkritik penggunaan tokoh agama untuk mendapatkan simpati, yang dianggap tidak jujur."
Mon Feb 12 23:38:17 +0000 2024,@ganjarpranowo wkwk prof mahfud asikk banget bener bener definisi bapak bapak kekinian sama pak Ganjar tuh,chlarmer,Positif,Tweet ini memuji Prof. Mahfud dan Ganjar Pranowo sebagai sosok yang asik dan modern.
Mon Feb 12 23:38:15 +0000 2024,@simkuringporsea @Uki23 @PDI_Perjuangan Merdeka...!! Ganjar-Mahfud presiden ayo menangkan wahai anak2 muda...,Denputr37914466,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dan mengajak anak muda untuk mendukung mereka.
Mon Feb 12 23:37:26 +0000 2024,@tvOneNews berpolitik praktis dg mendukung salah satu calon dan menjelekkan paslon lain itu jelek dan gak boleh berpolitik kebangsaan demi bangsa dan negara serta tegknya demokrasi karna melihat indikasi kecurangan dalm demokrasi itu sah dan harus. paham cil bocil??,WongeG1man,Netral,Tweet ini mengkritik praktik politik yang tidak etis tanpa menyebutkan nama calon tertentu.
Mon Feb 12 23:37:16 +0000 2024,@ganjarpranowo Pak Ganjar beberapa hari ini mas Denny Siregar kmn ya kok gak nge-tweet,bagisu91488423,Netral,Tweet ini hanya bertanya tentang keberadaan Denny Siregar tanpa memberikan opini tentang Ganjar.
Mon Feb 12 23:37:08 +0000 2024,Keberpihakan Mas Ganjar terhadap pendidikan inklusif menciptakan harapan akan akses pendidikan yang lebih merata. Ganjar Pranowo terbukti lebih baik @ChristineLehot #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/g65Eid2F71,PutriLestaaa,Positif,Tweet ini memuji keberpihakan Ganjar terhadap pendidikan inklusif.
Mon Feb 12 23:37:05 +0000 2024,@tempodotco Kalo Anies kalah ya udah kita lebih baik dukung Ganjar aja kan? https://t.co/uYXWM6BeVB,sintiaarah,Netral,Tweet ini menunjukkan sikap pragmatis tanpa memberikan pujian atau kritik yang jelas.
Mon Feb 12 23:37:02 +0000 2024,Mari bersatu memilih Ganjar - Mahfud untuk Indonesia yang lebih sejahtera. Kesejahteraan berlipat ganda Indonesia Makmur Sentosa @Aksa95539136510 #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/E5GbbYoNFb,suyonorhmat,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dan mengajak untuk memilih mereka.
Mon Feb 12 23:36:54 +0000 2024,jika pak anies atau pak ganjar yang menang saya sudah menyiapkan ruang untuk kekecewaan jika mereka tidak menjalankan janji janjinya. tapi jika prabowo yang menang yaudah ambil saja nyawaku,athenauchinaga,Netral,"Tweet ini menunjukkan sikap skeptis terhadap semua calon, dengan sedikit kecenderungan negatif terhadap Prabowo."
Mon Feb 12 23:36:50 +0000 2024,Bersama Ganjar Pranowo kita menggugah kesadaran akan pentingnya menjaga integritas dalam proses pemilihan . Kesejahteraan berkali lipat Indonesia Hebat ! @cemunyiel #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/ZyhOOMlfce,alifftrhmn_,Positif,Tweet ini memuji Ganjar Pranowo dan mengajak untuk menjaga integritas dalam pemilihan.
Mon Feb 12 23:36:49 +0000 2024,Mas Ganjar - Prof Mahfud berhasil menginspirasi rakyat Solo untuk lebih aktif dalam menjaga demokrasi. Ganjar Pranowo hanya yang terbaik untuk rakyat @Gmalplg #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/zBUvnBNsqH,fithriya_a11,Positif,Tweet ini memuji Ganjar Pranowo dan Prof. Mahfud sebagai inspirasi bagi rakyat Solo.
Mon Feb 12 23:36:46 +0000 2024,Dulu yakin sama Jokowi sekarang percaya Mas Ganjar bisa lebih . Kesejahteraan berkali lipat Indonesia Hebat ! @Tophaa #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/esHiGbiiGb,MaryaYeyen,Positif,Tweet ini menunjukkan kepercayaan bahwa Ganjar bisa lebih baik dari Jokowi.
Mon Feb 12 23:36:39 +0000 2024,@akoukamukita Terus salahnya jokowi yg mana,Bambangmulyonoo,Netral,Tweet ini mempertanyakan kesalahan Jokowi tanpa memberikan opini tentang Ganjar.
