created_at,full_text,label,analisis,
Mon Feb 12 23:54:45 +0000 2024,Dear mas @gibran_tweet mas @kaesangp kalian ditegur pak Prabowo.,Netral,Tweet ini hanya menyampaikan informasi bahwa Gibran dan Kaesang ditegur oleh Prabowo tanpa menunjukkan sentimen yang jelas.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:54:41 +0000 2024,gambaran kalo presidennya prabowo gibran (tp smg aja kagak),Negatif,Tweet ini menunjukkan harapan agar Prabowo dan Gibran tidak menjadi presiden dan wakil presiden.,Harapan agar Prabowo dan Gibran tidak menjadi presiden dan wakil presiden menunjukkan sentimen negatif.
Mon Feb 12 23:54:36 +0000 2024,Waktunya kulmit guys (kuliah 1 mnt) bnyk musibah yg menimpa saudara2 kt sgr meluncur yuk bantuanya ke tkp dan doain ya guys..catet️ cc @SBYudhoyono @Pak_JK @jokowi @fadlizon @Fahrihamzah @AHMADDHANIPRAST @KemensosRI @aniesbaswedan @prabowo @ganjarpranowo @tvOneNews @Metro_TV https://t.co/Ss6cFiMxPv,Netral,Tweet ini hanya mengajak untuk membantu korban musibah tanpa menunjukkan sentimen yang jelas terhadap Prabowo.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:54:32 +0000 2024,kalau prabowo kan cuddly grandpa kalau gibran apa ya,Netral,Tweet ini hanya membandingkan Prabowo dengan kakek yang ramah tanpa menunjukkan sentimen yang jelas.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:54:15 +0000 2024,@SahabatAKost @prabowo @gibran_tweet Kan sama seperti kalian jg nyebar sembako minyak goreng yg sdh ada labelnya PRABOWO Gibran sama duuull https://t.co/wVOnkxHHUE,Negatif,Tweet ini menunjukkan ketidakpuasan terhadap kampanye Prabowo dan Gibran yang menggunakan sembako berlabel.,Ketidakpuasan terhadap penggunaan sembako berlabel menunjukkan sentimen negatif.
Mon Feb 12 23:54:07 +0000 2024,Sementara banyak meme pembodohan yang beredar dari semua simpatisan paslon. Selalu muncul narasi RAKYAT SUDAH PINTAR . Ini juga narasi pembodohan. Jika rakyat sudah pintar makan gak perlu kampanye dengan dana besar! Adu gagasan sudah cukup. Daripada adu gimnick,Netral,Tweet ini mengkritik kampanye dengan dana besar dan gimmick tanpa menunjukkan sentimen yang jelas terhadap Prabowo.,Kritik terhadap kampanye dengan dana besar dan gimmick menunjukkan sentimen netral.
Mon Feb 12 23:54:04 +0000 2024,@Luluk1683 @emerson_yuntho @prabowo Kamu sepertinya kurang sehat. Mana pake bahasa 'potensi langgar UU' Klo melanggar konstitusi boleh?,Negatif,Tweet ini menunjukkan ketidakpuasan terhadap Prabowo yang dianggap melanggar konstitusi.,Ketidakpuasan terhadap pelanggaran konstitusi menunjukkan sentimen negatif.
Mon Feb 12 23:53:58 +0000 2024,Anggaplah ini valid. Ngga heran. Memang begitu kok faktanya. 2X aku pernah jadi pemilih Prabowo karena TERPAKSA NGGA ADA PILIHAN di Kota La Spezia (SP) dari 20 orang INA ya cuma aku yang pilih Prabowo dan PKS. Sisanya Jokowi dan PDIP. Di Milan Roma dll yang Org INAnya lbh https://t.co/HWvkPUzT7m,Negatif,Tweet ini menunjukkan bahwa pemilih Prabowo merasa terpaksa memilihnya karena tidak ada pilihan lain.,Rasa terpaksa dalam memilih Prabowo menunjukkan sentimen negatif.
Mon Feb 12 23:53:51 +0000 2024,@tvOneNews Mau laporin apa? Wong yg ada di dirty vote pake data semua. Nanti TKN prabowo mesti nyanggah dg data lagi dong. Emang sanggup? Hahahahahahahah,Negatif,Tweet ini menunjukkan ketidakpercayaan terhadap kemampuan tim Prabowo untuk menanggapi data dirty vote.,Ketidakpercayaan terhadap kemampuan tim Prabowo menunjukkan sentimen negatif.
Mon Feb 12 23:53:50 +0000 2024,@WeduusBalap @bengkeldodo @Ndons_Back @BANGSAygSUJUD @Bank_Joee_ @Alie_Fahnoor @99propaganda @PartaiSocmed @AndreasSolusi @Kimberley_PS08 @are_inismyname @Lembayung071 @prabowo @gibran_tweet Anak haram konstitusi (DV),Negatif,Tweet ini menggunakan bahasa yang sangat negatif dan menghina terhadap Prabowo dan Gibran.,Penggunaan bahasa yang menghina menunjukkan sentimen negatif.
Mon Feb 12 23:53:28 +0000 2024,@realfedinuril @prabowo @Dahnilanzar Jawaban nya nanti klu Indonesia udah hancur,Negatif,Tweet ini menunjukkan ketidakpuasan dan pesimisme terhadap masa depan Indonesia di bawah kepemimpinan Prabowo.,Ketidakpuasan dan pesimisme menunjukkan sentimen negatif.
Mon Feb 12 23:53:27 +0000 2024,Orang itu kalau banyak bicara dan serang sana sini pasti ada tujuan karena misinya gagal..!! Masif Serang Prabowo Rosan Roeslani Sebut Connie Rahakundini Ngotot Incar Jabatan Wamen Tapi di Tolak! via @jegtheme https://t.co/dPwnLXTI1z,Netral,Tweet ini lebih membahas serangan terhadap Prabowo tanpa menunjukkan sentimen yang jelas terhadap Prabowo.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:53:16 +0000 2024,@insurii Huum. Terus maksud aku tuh kalo emang elit yg elit bgt mungkin ada alasan milih prabowo yg kebijakannya pun banyak menguntungkan elit. Tp kalo cuma 'cukup' atau berpendidikan kelas menengah aja tu jg ga yang bakal dpt apa2 kalo prabowo jd soalnya irl 02 tu super banyak...,Negatif,Tweet ini menunjukkan bahwa kebijakan Prabowo hanya menguntungkan elit dan tidak memberikan manfaat bagi kelas menengah.,Kritik terhadap kebijakan Prabowo yang hanya menguntungkan elit menunjukkan sentimen negatif.
Mon Feb 12 23:52:52 +0000 2024,@99propaganda @prabowo Bener apanya om? Dari awal aja udah melanggar konstitusi...,Negatif,Tweet ini menunjukkan ketidakpuasan terhadap Prabowo yang dianggap melanggar konstitusi sejak awal.,Ketidakpuasan terhadap pelanggaran konstitusi menunjukkan sentimen negatif.
Mon Feb 12 23:52:47 +0000 2024,@jokowi bisa beralih ke yg lain klo anies gak menang asal bukan prabowo aja https://t.co/VQede5UqYI,Negatif,Tweet ini menunjukkan ketidaksetujuan terhadap Prabowo sebagai calon presiden.,Ketidaksetujuan terhadap Prabowo menunjukkan sentimen negatif.
Mon Feb 12 23:52:46 +0000 2024,@A4H74976106 @kumparan Di video awal yg pas pake baju ungu betina itu hanya sebut nama Pak Rosan dalam ceritanya mengenai masa jabatan Pak Prabowo kalo menjadi Presiden tapi di keterangan tertulisnya dia seret2 nama hasto kristiyanto buat penguat alibinya somplak nih betina,Negatif,Tweet ini menunjukkan ketidakpuasan terhadap cara penyampaian informasi terkait Prabowo.,Ketidakpuasan terhadap cara penyampaian informasi menunjukkan sentimen negatif.
Mon Feb 12 23:52:39 +0000 2024,@LOVE_UM4M4 Mbaaa mba. Rasa no kl Prabowo Gibran menang. Rakyat jgn ngeluh nanti ya..,Negatif,Tweet ini menunjukkan ketidakpuasan terhadap kemungkinan kemenangan Prabowo dan Gibran.,Ketidakpuasan terhadap kemungkinan kemenangan Prabowo dan Gibran menunjukkan sentimen negatif.
Mon Feb 12 23:52:20 +0000 2024,@SahabatAKost @prabowo @gibran_tweet Yg membuat vidio kalian yg mengedit2 vidio kalian hnya dipaslon 02 yg nyebar duwit paslon lain tdk ada,Negatif,Tweet ini menunjukkan ketidakpuasan terhadap kampanye Prabowo dan Gibran yang menggunakan uang.,Ketidakpuasan terhadap penggunaan uang dalam kampanye menunjukkan sentimen negatif.
Mon Feb 12 23:52:14 +0000 2024,@ariel_heryanto besok jam 4 sore survey tiap tv beda-beda hasilnya. malemnya ada adegan pak Prabowo sujud syukur kubu lainnya muka cemas gk taunya yg menang bukan yg sujud....drama 15 tahun gua hidup terulang terus wkwkwk...mungkin 5 thn lagi keulang?,Netral,Tweet ini lebih bersifat humoris dan tidak menunjukkan sentimen yang jelas terhadap Prabowo.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:50:51 +0000 2024,@ReporterKampung @chandrawcksn @3dyw_official @jokowi @prabowo @gibran_tweet kalau jangan di tonton berati harus di tonton heheheh,Netral,Tweet ini lebih bersifat humoris dan tidak menunjukkan sentimen yang jelas terhadap Prabowo.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:50:45 +0000 2024,@gibran_tweet @Gerindra mas raka sampaikan pemintaan maaf saya ke pak Jokowi dodo karna 2 periode saya selalu mencaci beliau karna saya selalu mendukung pak Prabowo sy mohon mas saya JUMARDI dari Sulawesi Selatan Takalar supaya hati saya lega karna sy disadarkan oleh pak Prabowo tentang sosok pak Jokowi,Positif,Tweet ini menunjukkan dukungan terhadap Prabowo dan permintaan maaf kepada Jokowi.,Dukungan terhadap Prabowo menunjukkan sentimen positif.
Mon Feb 12 23:50:43 +0000 2024,@Kiyai_MarufAmin Doa kan ya pak @Kiyai_MarufAmin besok tanggal 14 pebuari 2024 prabowo - gibran menang 1 putaran.,Positif,Tweet ini menunjukkan harapan dan dukungan agar Prabowo dan Gibran menang dalam satu putaran.,Harapan dan dukungan agar Prabowo dan Gibran menang menunjukkan sentimen positif.
Mon Feb 12 23:50:34 +0000 2024,@kompascom Survey apa lagi ini knpa tdk survey sekarang Prabowo adalah capres yg paling duluan masuk surga...,Netral,Tweet ini lebih bersifat humoris dan tidak menunjukkan sentimen yang jelas terhadap Prabowo.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:50:28 +0000 2024,@RcyberProj0 @FALDA81 @Gerindra @gibran_tweet @prabowo @budimuni98 @Projo_Pusat @handoko2411 Yg bikin tim surveinya dari dia juga,Netral,Tweet ini hanya menyatakan bahwa tim survei berasal dari pihak yang sama tanpa menunjukkan sentimen yang jelas terhadap Prabowo.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:50:25 +0000 2024,@migrenterus_ @jalanparis Anies sebenarnya sebal sama Imin cuma karena dia gamau dicap gemoysian seperti Prabowo Subianto jadi dia cukup nyengir aja liat elektabilitasnya turun️ @aniesbaswedan kasian banget kamu pak harus jadi baby sitter ,Negatif,"Tweet ini menunjukkan ketidakpuasan terhadap Prabowo dengan menyebutnya ""gemoysian"" dan menyindir Anies.",Ketidakpuasan dan sindiran terhadap Prabowo menunjukkan sentimen negatif.
Mon Feb 12 23:50:21 +0000 2024,@burhanrp @phsycalgraffiti @sveensky Apa hubungannya Pemuda Pancasila sm Anies Baswedan? PP bikinan orba jelas lbh condong ke Prabowo,Netral,Tweet ini hanya menyatakan fakta bahwa Pemuda Pancasila lebih condong ke Prabowo tanpa menunjukkan sentimen yang jelas.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:50:16 +0000 2024,Kini .. dan saat nya Separuh hidupku ada dalam dirinya . Sehat selalu Pak @prabowo Salam dari pecinta kecilnya Mas @gibran_tweet,Positif,Tweet ini menunjukkan dukungan dan harapan agar Prabowo selalu sehat.,Dukungan dan harapan agar Prabowo selalu sehat menunjukkan sentimen positif.
Mon Feb 12 23:50:14 +0000 2024,@realfedinuril @herupurnom0 @prabowo @Dahnilanzar Gausa alay dehh,Netral,Tweet ini hanya menyuruh seseorang untuk tidak berlebihan tanpa menunjukkan sentimen yang jelas terhadap Prabowo.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:50:13 +0000 2024,@Tita83079013 @Joes22525134 @aniesbaswedan Prabowo ingin Indonesia sebagai Negara Islam Adidaya . https://t.co/Enw8O8AN9d,Netral,Tweet ini hanya menyatakan bahwa Prabowo ingin Indonesia menjadi Negara Islam Adidaya tanpa menunjukkan sentimen yang jelas.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:50:11 +0000 2024,@temponewsroom jgn fitnah!!! Prabowo gibran itu taat hukum &amp; banyak pendukungnya https://t.co/qhbpDzZRCU,Positif,Tweet ini menunjukkan dukungan terhadap Prabowo dan Gibran dengan menyatakan bahwa mereka taat hukum dan memiliki banyak pendukung.,Dukungan terhadap Prabowo dan Gibran menunjukkan sentimen positif.
Mon Feb 12 23:49:46 +0000 2024,@ManusiaGalau16_ @UnderratedBoy1 @sosmedkeras Fatwa ulama kok di permasalahkan namanya fatwa ya mau di ikuti. seterah nggak juga seterah. Itu juga terjadi di saat Prabowo 2019 bahkan meminta pak Jokowi di diskualifikasi dari pilpres,Netral,Tweet ini hanya membahas fatwa ulama tanpa menunjukkan sentimen yang jelas terhadap Prabowo.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:49:45 +0000 2024,Banyak meme beredar: 01 = Anies = Surya Paloh 02 = Gibran = Jokowi 03 = Ganjar = Megawati Biasanya meme itu disebarkan oleh pendukung 02. Ya sebetulnya penyederhanaan itu adalah pembodohan pada masyarakat. Utamanya generasi muda yang literasinya miris https://t.co/nCJkvDTAbz,Negatif,Tweet ini menunjukkan ketidakpuasan terhadap penyederhanaan yang dilakukan oleh pendukung Prabowo dan Gibran.,Ketidakpuasan terhadap penyederhanaan menunjukkan sentimen negatif.
Mon Feb 12 23:49:42 +0000 2024,Hadiri Kampanye Akbar 02 di GBK Yusril Sebut Sosok Prabowo-Gibran Tepat Lanjutkan Kepemimpinan Presiden dan Wakil Presiden https://t.co/RvtFVQIiqc,Positif,Tweet ini menunjukkan dukungan terhadap Prabowo dan Gibran sebagai penerus kepemimpinan.,Dukungan terhadap Prabowo dan Gibran menunjukkan sentimen positif.
Mon Feb 12 23:49:37 +0000 2024,@geloraco Lah dia nya aja plin plan kan . Udah paling bener dukung pak Anies yg jauh dari kata curang atau pilihan alternatif kalo pak Anies kalah ya pilih Ganjar aja jangan prabowo lah ngeri https://t.co/X7kl8PTsfa,Negatif,Tweet ini menunjukkan ketidakpuasan terhadap Prabowo dan menyarankan untuk memilih Anies atau Ganjar.,Ketidakpuasan dan saran untuk tidak memilih Prabowo menunjukkan sentimen negatif.
Mon Feb 12 23:49:35 +0000 2024,@AndrreAnggara @faqihnabila @LexWu_13 Kata kelurga kakakku kasian pemilu nanti seklurga sampee ke mantu2nya di suruh pilih prabowo biar next g nyampres lagi..aku jawab kasian ke prabowo nnti kita yg ngasihani siap klo mereka kayak jokowi lagi apa2 mahal..,Negatif,Tweet ini menunjukkan ketidakpuasan terhadap Prabowo dengan menyatakan bahwa memilihnya hanya karena kasihan dan khawatir akan kebijakan yang mahal seperti Jokowi.,Ketidakpuasan dan kekhawatiran terhadap kebijakan Prabowo menunjukkan sentimen negatif.
Mon Feb 12 23:49:28 +0000 2024,@Hilmi28 klo gak salah dengar begini kan ya..yg disampaikan pak @prabowo ? .. kebiasaan kita adalah koneksi koncoisme.. kamu anaknya siapa..kamu keponakan siapa... ,Netral,Tweet ini hanya menyatakan kebiasaan koneksi koncoisme tanpa menunjukkan sentimen yang jelas terhadap Prabowo.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:49:15 +0000 2024,@itsindahg YA EMANG BUKAN KARENA ELU TAPI ELU YANG NYIRAMIN API MENJADI KONFLIK HORIZONTAL YA PANTEEEEKKKKK KRITISI TUH PUJAANMU PRABOWO SUBIANTO INISIATOR POLARISASI DI NEGERI INI. KOK BISA SEWATADOS ITU SIH you have no shame at all just like golongan itu. ,Negatif,Tweet ini menunjukkan ketidakpuasan dan kemarahan terhadap Prabowo yang dianggap sebagai inisiator polarisasi di Indonesia.,Ketidakpuasan dan kemarahan terhadap Prabowo menunjukkan sentimen negatif.
Mon Feb 12 23:49:15 +0000 2024,@day_sun34 @erlanishere @realfedinuril @prabowo @Dahnilanzar cuma org yg melek yg bener yg tau saya berharap ada org yg belajar seperti anda gag menyudutkan satu pihak saja warga negara Indonesia sekarang banyak sarjananya ketimbang lulusan SD yg mudah diadu,Netral,Tweet ini hanya menyatakan harapan agar orang tidak menyudutkan satu pihak tanpa menunjukkan sentimen yang jelas terhadap Prabowo.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:47:26 +0000 2024,@OposisiCerdas ketauan deh wkwk cuma prabowo gibran emg yg tulus ikhlas buat bangsa https://t.co/T9gotIXj42,Positif,Tweet ini menunjukkan dukungan terhadap Prabowo dan Gibran dengan menyatakan bahwa mereka tulus ikhlas untuk bangsa.,Dukungan terhadap Prabowo dan Gibran menunjukkan sentimen positif.
Mon Feb 12 23:47:23 +0000 2024,@msaid_didu @ZUL_Hasan #GERAKAN_1PUTARAN_02MENANGTELAK Kangen liat paslon 02 Prabowo-Gibran dilantik menjadi Presiden &amp; wapres RI Pertama kali dlm sejarah presiden lantik anaknya jd wapres dpt kabar said didu tewas ditabrak truk kontainer kepingin ngasih hadiah ke sopir nya eh ternyata cuma mimpi!,Positif,Tweet ini menunjukkan dukungan dan harapan agar Prabowo dan Gibran dilantik menjadi Presiden dan Wakil Presiden.,Dukungan dan harapan agar Prabowo dan Gibran dilantik menunjukkan sentimen positif.
