Full Text,Label,Analisis,Alasan,
@ganjarpranowo @ernestprakasa Kemarin juga nonton film ini pak salah satu film keluarga terbaik pak ganjar.,Positif,Tweet ini memuji Ganjar Pranowo dengan menyebutkan film keluarga terbaik yang ditonton bersama.,"Memuji Ganjar Pranowo dengan menyebutkan film keluarga terbaik yang ditonton bersama, menunjukkan dukungan dan apresiasi.",
@Bull_winner Buat yang koar2 dibaca dulu terus linknya dibuka jangan link yg di tonton pak ganjar aja yg lu buka,Negatif,Tweet ini mengkritik orang yang hanya membuka link yang ditonton oleh Ganjar.,"Mengandung kritik terhadap orang yang hanya membuka link yang ditonton oleh Ganjar, menunjukkan ketidakpuasan.",
Kalau gak mau jadi Gen 2.0 ya lebih baik jangan pilih Gen 2.3 Sesederhana itu kok !!,Negatif,Tweet ini menyarankan untuk tidak memilih Ganjar dengan perbandingan yang negatif.,"Menyiratkan bahwa memilih Ganjar adalah pilihan yang buruk, menunjukkan ketidaksetujuan.",
tw gak semalem aku mimpi alam ganjar DIKASIH album redvelvet,Netral,Tweet ini menceritakan mimpi yang tidak relevan dengan politik.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
@KEBUMENinLOVE @An4Julie @drReUtari08 @AditBandit234 @Abahpurwa1 @Abaaah @_NusantaraLand_ @99propaganda @Ndons_Back @03__nakula @DarekaRendy @Ganjar_Mahfud03 Gila lu ndro,Netral,Tweet ini menggunakan bahasa informal tanpa konteks yang jelas.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
@tvOneNews Salam perubahan untuk kita semua pendukung anies Muhaimin gk duku 02 mending Ganjar kalo kalah https://t.co/QhZdXX1zRY,Netral,"Tweet ini menunjukkan dukungan terhadap Anies dan Muhaimin, dengan Ganjar sebagai pilihan kedua.","Menyebut Ganjar sebagai pilihan kedua jika Anies kalah, menunjukkan preferensi yang tidak kuat.",
AKU SEDANG JATUH CINTA DENGAN ALAM GANJAR,Netral,Tweet ini menyatakan perasaan pribadi yang tidak relevan dengan politik.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
@ganjarpranowo Ganjar Mahfud 03,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud.,"Menyebutkan pasangan Ganjar-Mahfud dengan nada positif, menunjukkan dukungan.",
@ccacon Malah ada yg bandingin sama alam ganjar dong,Netral,Tweet ini membandingkan tanpa konteks yang jelas.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
@alextham878 kalo Anies kalah mendingan kita dukung Ganjar aja https://t.co/u33zmXLOAp,Netral,Tweet ini menunjukkan dukungan terhadap Ganjar sebagai pilihan kedua.,"Menyebut Ganjar sebagai pilihan kedua jika Anies kalah, menunjukkan preferensi yang tidak kuat.",
@Masinton @KPU_ID @bawaslu_RI Di vidio yg di coblos Ganjar kan ya jadi dari partai bapak jg kan ya,Netral,Tweet ini menanyakan tentang video pencoblosan Ganjar.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
@aruna_bayu @alamganjar14 Asli. Aku kesini karena ditunjukin p ganjar,Netral,Tweet ini menyatakan alasan kehadiran tanpa konteks yang jelas.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
@ekowboy2 Kami yakin pada pak Anies satu putaran jika tidak memungkinkan paling pilih Ganjar lebih baik https://t.co/D6D7L7Lbij,Netral,Tweet ini menunjukkan dukungan terhadap Anies dengan Ganjar sebagai pilihan kedua.,"Menyebut Ganjar sebagai pilihan kedua jika Anies kalah, menunjukkan preferensi yang tidak kuat.",
@tempodotco Kalo Anies kalah yuk kita dukung Ganjar deh lebih bagus. https://t.co/yfjgl3djzZ,Netral,Tweet ini menunjukkan dukungan terhadap Ganjar sebagai pilihan kedua.,"Menyebut Ganjar sebagai pilihan kedua jika Anies kalah, menunjukkan preferensi yang tidak kuat.",
bisa aja Pak Ganjar,Netral,Tweet ini menyatakan kemungkinan tanpa konteks yang jelas.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
@TirtoID all in ganjar mahfud,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud.,"Menyebutkan pasangan Ganjar-Mahfud dengan nada positif, menunjukkan dukungan.",
@ganjarpranowo @ernestprakasa Ganjar Mahfud memang terbaik,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka yang terbaik.,"Menyebut pasangan Ganjar-Mahfud sebagai yang terbaik, menunjukkan dukungan yang jelas.",
@stargzie alamnya pak ganjar alias anak e mbak,Netral,Tweet ini menyebutkan “alamnya pak ganjar” tanpa konteks yang jelas.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
DV tidak utk menarik suara 02. DV hanyalah potret kehidupan nyata di lapangan selama pilpres ini. Bagi mereka yg takut azab tuhan pasti akan beralih pilihan ke 03 atau 01.,Netral,Tweet ini membahas potret kehidupan nyata selama pilpres tanpa menunjukkan dukungan atau penolakan yang jelas terhadap Ganjar.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
@Klonthong_Sapi @kangdede78 Lol di Malaysia TKI semua yel yel Anies kalah Prabowo yg dipilih. Ganjar kaga ada sama sekali,Negatif,Tweet ini menyatakan bahwa Ganjar tidak dipilih sama sekali oleh TKI di Malaysia.,"Menyebutkan bahwa Ganjar tidak dipilih sama sekali oleh TKI di Malaysia, menunjukkan ketidaksetujuan.",
@UGM_FESS MENGAMANKAN ANGGOTA PDIP YANG TERLIBAT. BAHKAN NAMA GANJAR DISEBUTKAN DALAM KEGIATAN KORUPSI E-KTP TERSEBUT. BARULAH DI 2021 KITA MENDENGAR ADANYA NIAT JOKOWI DALAM PEMBUBARAN KPK YANG MANA SAAT ITU BANYAK MAHASISWA YANG MELAKUKAN DEMO DAN 3 TOKOH DALAM DIRTY VOTE MERUPAKAN TOKOH,Negatif,Tweet ini menyebutkan keterlibatan Ganjar dalam kegiatan korupsi E-KTP.,"Menyebutkan keterlibatan Ganjar dalam kegiatan korupsi E-KTP, menunjukkan ketidaksetujuan.",
@tvOneNews Kita harus berfikir bahwa 01 lah yang terbaik dsn unggil jadi pemimpin saat ini bukan yang lain kalo kalah pun cuman pilih Ganjar https://t.co/hzqLnmvXi2,Netral,Tweet ini menunjukkan dukungan terhadap 01 dengan Ganjar sebagai pilihan kedua.,"Menyebut Ganjar sebagai pilihan kedua jika 01 kalah, menunjukkan preferensi yang tidak kuat.",
Hadah Alam Ganjar,Netral,Tweet ini menyebutkan “Alam Ganjar” tanpa konteks yang jelas.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
@islah_bahrawi Tetap Ganjar,Positif,Tweet ini mendukung Ganjar dengan menyebutkan “Tetap Ganjar”.,"Menyebutkan “Tetap Ganjar”, menunjukkan dukungan yang jelas.",
Setiap suara adalah harapan mari kita wujudkan dengan memilih Ganjar - Mahfud. Ganjar Pranowo hanya yang terbaik untuk rakyat @bangobayu #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/pUeu4sSAZQ,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dan mengajak orang untuk memilih mereka.,"Mendukung pasangan Ganjar-Mahfud dan mengajak orang untuk memilih mereka, menunjukkan dukungan yang jelas.",
Banyak meme beredar: 01 = Anies = Surya Paloh 02 = Gibran = Jokowi 03 = Ganjar = Megawati Biasanya meme itu disebarkan oleh pendukung 02. Ya sebetulnya penyederhanaan itu adalah pembodohan pada masyarakat. Utamanya generasi muda yang literasinya miris https://t.co/nCJkvDTAbz,Negatif,Tweet ini menyebutkan bahwa penyederhanaan tersebut adalah pembodohan pada masyarakat.,"Menyebutkan bahwa penyederhanaan tersebut adalah pembodohan pada masyarakat, menunjukkan ketidaksetujuan.",
@ganjarpranowo @ernestprakasa Mari kita dukung terus Ganjar Mahfud pemimpin yang jujur dan anti korupsi,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka jujur dan anti korupsi.,"Menyebut pasangan Ganjar-Mahfud sebagai pemimpin yang jujur dan anti korupsi, menunjukkan dukungan yang jelas.",
@geloraco Lah dia nya aja plin plan kan . Udah paling bener dukung pak Anies yg jauh dari kata curang atau pilihan alternatif kalo pak Anies kalah ya pilih Ganjar aja jangan prabowo lah ngeri https://t.co/X7kl8PTsfa,Netral,Tweet ini menunjukkan dukungan terhadap Anies dengan Ganjar sebagai pilihan kedua.,"Menyebut Ganjar sebagai pilihan kedua jika Anies kalah, menunjukkan preferensi yang tidak kuat.",
@JhontalJk Pilih Ganjar dan Mahfud itu sudah,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka sebagai pilihan yang sudah pasti.,"Menyebut pasangan Ganjar-Mahfud sebagai pilihan yang sudah pasti, menunjukkan dukungan yang jelas.",
Memang semuanya itu fakta. Yang tidak fakta adalah suburnya tanaman singkong di food estate.,Netral,Tweet ini membahas fakta tanpa konteks yang jelas terhadap Ganjar.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
alam ganjar,Netral,Tweet ini menyebutkan “alam ganjar” tanpa konteks yang jelas.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
@ganjarpranowo @ernestprakasa Gasssspollll Ganjar Mahfud pemimpin yang amanah dan merakyat,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka amanah dan merakyat.,"Menyebut pasangan Ganjar-Mahfud sebagai pemimpin yang amanah dan merakyat, menunjukkan dukungan yang jelas.",
Ganjar - Mahfud memberikan dorongan kepada relawan untuk tetap bersemangat dalam menjaga proses pemilihan hingga selesai di TPS. Kesejahteraan berlipat ganda Indonesia Makmur Sentosa @haloimun_ #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/hjtMh48H8E,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebutkan dorongan mereka kepada relawan dan kesejahteraan Indonesia.,"Menyebutkan dorongan kepada relawan dan kesejahteraan Indonesia, menunjukkan dukungan yang jelas.",
@jyvelve AKU JUGA NGGK TAUTP TEEL AKU PENUH SAMA ALAM GANJAR,Netral,Tweet ini menyatakan perasaan pribadi yang tidak relevan dengan politik.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
@gus_muslih @aniesbaswedan @cakimiNOW Pilih Ganjar ___ Mahfud,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebutkan pilihan untuk mereka.,"Menyebutkan pilihan untuk Ganjar-Mahfud, menunjukkan dukungan yang jelas.",
@niiceinfo semua mutualku tweetsnya ALAM GANJAR,Netral,Tweet ini menyebutkan “alam ganjar” tanpa konteks yang jelas.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
@Melihat_Indo Keren my presiden 2024 bpk Ganjar pranowo semoga sehat slalu Pak... Ganjar Mahfud Hebat #Coblos3 https://t.co/2k21Zr6Sgh,Positif,Tweet ini mendukung Ganjar Pranowo sebagai presiden 2024 dan menyebutkan pasangan Ganjar-Mahfud sebagai hebat.,"Menyebutkan Ganjar Pranowo sebagai presiden 2024 dan pasangan Ganjar-Mahfud sebagai hebat, menunjukkan dukungan yang jelas.",
@ganjarpranowo Mari kita dukung terus Ganjar Mahfud pemimpin yang amanah dan dekat dengan Masyarakat,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka amanah dan dekat dengan masyarakat.,"Menyebut pasangan Ganjar-Mahfud sebagai pemimpin yang amanah dan dekat dengan masyarakat, menunjukkan dukungan yang jelas.",
Rasa optimis Ganjar - Mahfud menjadi pendorong para pendukungnya untuk hadir di TPS dengan semangat positif. Ganjar Pranowo terbukti mensejahterakan @hatkorjowo #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/wuHq7h8YeJ,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebutkan rasa optimis dan kesejahteraan yang diberikan oleh Ganjar Pranowo.,"Menyebutkan rasa optimis dan kesejahteraan yang diberikan oleh Ganjar Pranowo, menunjukkan dukungan yang jelas.",
@dwifajard Iya yaudah lanjutin aja hahaha,Netral,Tweet ini menggunakan bahasa informal tanpa konteks yang jelas.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
#IMS2020: Begini Lho Gaya Kepemimpinan Ganjar Pranowo https://t.co/NPXty8ywuq,Positif,Tweet ini membagikan artikel tentang gaya kepemimpinan Ganjar Pranowo.,"Membagikan artikel tentang gaya kepemimpinan Ganjar Pranowo, menunjukkan dukungan yang jelas.",
Ada banyak wakil partai dan sukarelawan militan di KPPS di semua tingkatan yang beroposisi dng 02. Jadi jangan bermain di tanah basah bisa tenggelam nanti.,Netral,Tweet ini memberikan peringatan tanpa konteks yang jelas terhadap Ganjar.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
trima uangnya coblosnya tetap 03,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyarankan untuk tetap memilih mereka meskipun menerima uang dari pihak lain.,"Menyebutkan untuk tetap memilih pasangan Ganjar-Mahfud, menunjukkan dukungan yang jelas.",
@ganjarpranowo Ganjar Mahfud TOP BGT. Paling cocok jadi presiden RI,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka paling cocok jadi presiden RI.,"Menyebut pasangan Ganjar-Mahfud sebagai yang paling cocok jadi presiden RI, menunjukkan dukungan yang jelas.",
@ganjarpranowo Ganjar Mahfud TOP BGT. Paling cocok jadi presiden RI,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka paling cocok jadi presiden RI.,"Menyebut pasangan Ganjar-Mahfud sebagai yang paling cocok jadi presiden RI, menunjukkan dukungan yang jelas.",
@WotaSepuh48 @baymaaks @imanlagi 03 itu cuma kecewa Jokuwi gak pilih Ganjar padahal dulu Jokuwi promosi Ganjar.. Jokuwi ingin Ganjar duet dg Prabowo namun masing² gak mau jadi Wapres dan akhirnya pecah kongsi..,Netral,Tweet ini membahas kekecewaan terhadap Jokowi tanpa konteks yang jelas terhadap Ganjar.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
@ganjarpranowo Masyarakat Papua antusias menyambut pemimpin yang sederhana dan ramah Pak Ganjar,Positif,Tweet ini mendukung Ganjar dengan menyebutkan antusiasme masyarakat Papua.,"Menyebutkan antusiasme masyarakat Papua terhadap Ganjar, menunjukkan dukungan yang jelas.",
MATERI KAMPANYE Anies = beribadah sholawat bersama dpt kawan baru saling doakan dpt konsep perubahan utk keadilan Prabo = dpt angkutan makan amplop kaos & joged2 Ganjar = dpt angkutan makan amplop kaos & hiburan,Netral,Tweet ini membandingkan materi kampanye tanpa menunjukkan preferensi yang jelas.,Membandingkan materi kampanye tanpa menunjukkan dukungan atau penolakan yang jelas.,
@ganjarpranowo @ernestprakasa Ganjar Mahfud TOP BGT. Paling cocok jadi presiden RI,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka paling cocok jadi presiden RI.,"Menyebut pasangan Ganjar-Mahfud sebagai yang paling cocok jadi presiden RI, menunjukkan dukungan yang jelas.",
@ganjarpranowo Pak Ganjar sosok pemimpin yang dekat dengan Masyarakat Papua,Positif,Tweet ini mendukung Ganjar dengan menyebutkan kedekatannya dengan masyarakat Papua.,"Menyebutkan kedekatan Ganjar dengan masyarakat Papua, menunjukkan dukungan yang jelas.",
@DokterTifa Mantap pilih pak anies kalau kalah atau gagal di putaran pertama punn gue ke ganjar aja drpd 02 https://t.co/79Gl1RqMvT,Netral,"Tweet ini menyatakan preferensi untuk Anies, tetapi akan memilih Ganjar jika Anies kalah.","Menyatakan preferensi untuk Anies, tetapi akan memilih Ganjar jika Anies kalah, menunjukkan fleksibilitas dalam pilihan.",
@ganjarpranowo Pak Ganjar sosok pemimpin yang amanah dan merakyat banget,Positif,Tweet ini mendukung Ganjar dengan menyebutnya amanah dan merakyat.,"Menyebut Ganjar sebagai pemimpin yang amanah dan merakyat, menunjukkan dukungan yang jelas.",
@yusuf_dumdum Apapun yang terjadi tetap ganjar pranowo dan Mahfud MD pilihan saya salam 3 jari,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka sebagai pilihan.,"Menyebut pasangan Ganjar-Mahfud sebagai pilihan, menunjukkan dukungan yang jelas.",
@SumitroYoel Ternyata program-programnya jalan kok walaupun ga 100% berhasil. Bahkan hal-hal yang mungkin ga terpikir oleh yang lain tapi beliau pikirkan. Rasa empatinya tinggi cara jawab saat debat dan desak anies. *Ini nyari tahu soal fitnah ga cuma tentang pak anies kok pak ganjar juga,Positif,Tweet ini mendukung Ganjar dengan menyebutkan program-programnya dan rasa empatinya.,"Menyebutkan program-program Ganjar dan rasa empatinya, menunjukkan dukungan yang jelas.",
@ganjarpranowo Mari kita dukung terus Ganjar Mahfud pemimpin yang jujur dan anti korupsi,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka jujur dan anti korupsi.,"Menyebut pasangan Ganjar-Mahfud sebagai pemimpin yang jujur dan anti korupsi, menunjukkan dukungan yang jelas.",
kalo milih amin dadi negoro arab Lk ganjar yoiku koyo megawati korupsi Lk milih prabowo dadi dikuasay cina pusat pusat kota akan di kuasay mereka dan orang orang pribumi akan nyingkrih satu persatu kebawah pusat pusat kota di kuasay mereka skrg liat aja surabaya ya ayo di pilih²,Negatif,Tweet ini mengkritik Ganjar dengan menyebutnya korupsi.,"Menyebut Ganjar sebagai korupsi, menunjukkan penolakan yang jelas.",
@AirinDatangLagi Mengalahkan ganjar dan pdip adalah tugas yg mulia. Pahalanya seperti menyelematkan negara dari kehancuran.,Negatif,Tweet ini mengkritik Ganjar dan PDIP dengan menyebut mengalahkan mereka sebagai tugas mulia.,"Menyebut mengalahkan Ganjar dan PDIP sebagai tugas mulia, menunjukkan penolakan yang jelas.",
@pikiran_rakyat Jangan gentar...ada Ganjar...jangan takut ada Mahfud Ganjar Mahfud Hebat #Coblos3 https://t.co/Zum2d4OHXL,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka hebat.,"Menyebut pasangan Ganjar-Mahfud sebagai hebat, menunjukkan dukungan yang jelas.",
@Jayabay19479190 Amin. Amin. Amin semoga Ganjar__ Mahfud unggul,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan harapan mereka unggul.,"Menyebut harapan agar pasangan Ganjar-Mahfud unggul, menunjukkan dukungan yang jelas.",
@ganjarpranowo Gasssspollll Ganjar Mahfud MD pemimpin yang amanah dan terbaik,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dengan menyebut mereka amanah dan terbaik.,"Menyebut pasangan Ganjar-Mahfud sebagai pemimpin yang amanah dan terbaik, menunjukkan dukungan yang jelas.",
@ganjarpranowo pak ganjar selalu memberi solusi terbaik untuk masyarakat,Positif,Tweet ini mendukung Ganjar dengan menyebutnya selalu memberi solusi terbaik.,"Menyebut Ganjar selalu memberi solusi terbaik untuk masyarakat, menunjukkan dukungan yang jelas.",
KPU di sini adalah para processor asli lulusan negeri Konoha !! ...ekwkwkwk...,Netral,Tweet ini menggunakan humor tanpa konteks yang jelas terhadap Ganjar.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
@ganjarpranowo Pak Ganjar sosok pemimpin yang amanah dan merakyat banget,Positif,Tweet ini mendukung Ganjar dengan menyebutnya amanah dan merakyat.,"Menyebut Ganjar sebagai pemimpin yang amanah dan merakyat, menunjukkan dukungan yang jelas.",
eh kenapa dah klo org2 suka alam ganjar. mau kaya anak kabupaten kaya satria kaya siapa jg ydh biarin aja. salty amat.,Netral,Tweet ini menyatakan pendapat pribadi tanpa konteks yang jelas terhadap Ganjar.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
@kdrama_menfess jeong ganjar,Netral,Tweet ini menyebutkan nama tanpa konteks yang jelas.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
@IdonNara Penjilat jokowi ya...,Negatif,Tweet ini mengkritik Jokowi tanpa konteks yang jelas terhadap Ganjar.,Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,
Mengintip Rumah Baru Ganjar Pranowo di Wedomartani Begini Kata Para Tetangga,Netral,Tweet ini hanya memberikan informasi tentang rumah baru Ganjar Pranowo tanpa memberikan opini atau emosi yang jelas.,"Tidak ada indikasi sentimen positif atau negatif, hanya informasi.",
@kompascom wong … kwi bebaaasss wong … kwi bebaaaaass,Netral,Tweet ini tidak memberikan konteks yang jelas dan tidak ada indikasi sentimen terhadap Ganjar Pranowo.,Tidak ada informasi yang cukup untuk menentukan sentimen.,
@ganjarpranowo Pak Ganjar memang sosok yang selalu menginspirasi kita sebagai generasi penerus,Positif,Tweet ini memuji Ganjar Pranowo sebagai sosok inspiratif.,Penggunaan kata “menginspirasi” menunjukkan sentimen positif.,
Tapi menggunakan Kiayi untuk dapet simpati supaya kelihatan termasuk golongan taat agama. Tuhan aja dibohongin apalagi manusia !! …wkwkwkek…,Negatif,"Tweet ini mengkritik penggunaan tokoh agama untuk mendapatkan simpati, yang dianggap tidak jujur.",Kritik terhadap strategi politik yang dianggap manipulatif.,
@ganjarpranowo wkwk Prof. Mahfud asik banget bener-bener definisi bapak-bapak kekinian sama Pak Ganjar tuh,Positif,Tweet ini memuji Prof. Mahfud dan Ganjar Pranowo sebagai sosok yang asik dan modern.,Penggunaan kata “asik” dan “kekinian” menunjukkan sentimen positif.,
@simkuringporsea @Uki23 @PDI_Perjuangan Merdeka…!! Ganjar-Mahfud presiden ayo menangkan wahai anak-anak muda…,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dan mengajak anak muda untuk mendukung mereka.,Dukungan eksplisit terhadap pasangan calon.,
@tvOneNews berpolitik praktis dengan mendukung salah satu calon dan menjelekkan paslon lain itu jelek dan gak boleh. Berpolitik kebangsaan demi bangsa dan negara serta tegaknya demokrasi karena melihat indikasi kecurangan dalam demokrasi itu sah dan harus. Paham cil bocil??,Netral,Tweet ini mengkritik praktik politik yang tidak etis tanpa menyebutkan nama calon tertentu.,"Kritik umum terhadap praktik politik, tidak spesifik terhadap Ganjar.",
@ganjarpranowo Pak Ganjar beberapa hari ini Mas Denny Siregar kemana ya kok gak nge-tweet,Netral,Tweet ini hanya bertanya tentang keberadaan Denny Siregar tanpa memberikan opini tentang Ganjar.,Tidak ada indikasi sentimen positif atau negatif.,
